ip_src,ip_dst,path_id,src_optical_node_id,dst_optical_node_id,optical_path,optical_hops,total_length_km
ip_0,ip_1,ip_0_ip_1_p0,opt_0,opt_1,opt_0-opt_14-opt_3-opt_9-opt_21-opt_1,5,1152.243
ip_0,ip_1,ip_0_ip_1_p1,opt_0,opt_1,opt_0-opt_14-opt_3-opt_27-opt_9-opt_21-opt_1,6,1193.227
ip_0,ip_1,ip_0_ip_1_p2,opt_0,opt_1,opt_0-opt_14-opt_4-opt_27-opt_9-opt_21-opt_1,6,1210.619
ip_0,ip_1,ip_0_ip_1_p3,opt_0,opt_1,opt_0-opt_16-opt_27-opt_9-opt_21-opt_1,5,1218.344
ip_0,ip_1,ip_0_ip_1_p4,opt_0,opt_1,opt_0-opt_14-opt_4-opt_3-opt_9-opt_21-opt_1,6,1219.700
ip_0,ip_1,ip_0_ip_1_p5,opt_0,opt_1,opt_0-opt_16-opt_4-opt_27-opt_9-opt_21-opt_1,6,1225.365
ip_0,ip_1,ip_0_ip_1_p6,opt_0,opt_1,opt_0-opt_16-opt_3-opt_9-opt_21-opt_1,5,1228.804
ip_0,ip_1,ip_0_ip_1_p7,opt_0,opt_1,opt_0-opt_18-opt_21-opt_1,3,1229.244
ip_0,ip_1,ip_0_ip_1_p8,opt_0,opt_1,opt_0-opt_14-opt_4-opt_27-opt_3-opt_9-opt_21-opt_1,7,1232.705
ip_0,ip_1,ip_0_ip_1_p9,opt_0,opt_1,opt_0-opt_16-opt_4-opt_3-opt_9-opt_21-opt_1,6,1234.446
ip_0,ip_2,ip_0_ip_2_p0,opt_0,opt_2,opt_0-opt_14-opt_2,2,741.423
ip_0,ip_2,ip_0_ip_2_p1,opt_0,opt_2,opt_0-opt_14-opt_3-opt_2,3,810.142
ip_0,ip_2,ip_0_ip_2_p2,opt_0,opt_2,opt_0-opt_8-opt_6-opt_29-opt_2,4,822.320
ip_0,ip_2,ip_0_ip_2_p3,opt_0,opt_2,opt_0-opt_18-opt_14-opt_2,3,827.577
ip_0,ip_2,ip_0_ip_2_p4,opt_0,opt_2,opt_0-opt_8-opt_6-opt_15-opt_29-opt_2,5,856.406
ip_0,ip_2,ip_0_ip_2_p5,opt_0,opt_2,opt_0-opt_14-opt_4-opt_3-opt_2,4,877.599
ip_0,ip_2,ip_0_ip_2_p6,opt_0,opt_2,opt_0-opt_16-opt_3-opt_2,3,886.703
ip_0,ip_2,ip_0_ip_2_p7,opt_0,opt_2,opt_0-opt_8-opt_6-opt_31-opt_29-opt_2,5,887.110
ip_0,ip_2,ip_0_ip_2_p8,opt_0,opt_2,opt_0-opt_14-opt_4-opt_27-opt_3-opt_2,5,890.604
ip_0,ip_2,ip_0_ip_2_p9,opt_0,opt_2,opt_0-opt_16-opt_4-opt_3-opt_2,4,892.345
ip_0,ip_3,ip_0_ip_3_p0,opt_0,opt_3,opt_0-opt_14-opt_3,2,512.398
ip_0,ip_3,ip_0_ip_3_p1,opt_0,opt_3,opt_0-opt_14-opt_4-opt_3,3,579.855
ip_0,ip_3,ip_0_ip_3_p2,opt_0,opt_3,opt_0-opt_16-opt_3,2,588.959
ip_0,ip_3,ip_0_ip_3_p3,opt_0,opt_3,opt_0-opt_14-opt_4-opt_27-opt_3,4,592.860
ip_0,ip_3,ip_0_ip_3_p4,opt_0,opt_3,opt_0-opt_16-opt_4-opt_3,3,594.601
ip_0,ip_3,ip_0_ip_3_p5,opt_0,opt_3,opt_0-opt_18-opt_3,2,596.264
ip_0,ip_3,ip_0_ip_3_p6,opt_0,opt_3,opt_0-opt_18-opt_14-opt_3,3,598.552
ip_0,ip_3,ip_0_ip_3_p7,opt_0,opt_3,opt_0-opt_16-opt_27-opt_3,3,600.585
ip_0,ip_3,ip_0_ip_3_p8,opt_0,opt_3,opt_0-opt_14-opt_16-opt_3,3,607.098
ip_0,ip_3,ip_0_ip_3_p9,opt_0,opt_3,opt_0-opt_16-opt_4-opt_27-opt_3,4,607.606
ip_0,ip_4,ip_0_ip_4_p0,opt_0,opt_4,opt_0-opt_14-opt_4,2,312.454
ip_0,ip_4,ip_0_ip_4_p1,opt_0,opt_4,opt_0-opt_16-opt_4,2,327.200
ip_0,ip_4,ip_0_ip_4_p2,opt_0,opt_4,opt_0-opt_14-opt_16-opt_4,3,345.339
ip_0,ip_4,ip_0_ip_4_p3,opt_0,opt_4,opt_0-opt_13-opt_4,2,346.752
ip_0,ip_4,ip_0_ip_4_p4,opt_0,opt_4,opt_0-opt_18-opt_4,2,350.494
ip_0,ip_4,ip_0_ip_4_p5,opt_0,opt_4,opt_0-opt_13-opt_16-opt_4,3,355.513
ip_0,ip_4,ip_0_ip_4_p6,opt_0,opt_4,opt_0-opt_18-opt_16-opt_4,3,368.064
ip_0,ip_4,ip_0_ip_4_p7,opt_0,opt_4,opt_0-opt_18-opt_13-opt_4,3,368.842
ip_0,ip_4,ip_0_ip_4_p8,opt_0,opt_4,opt_0-opt_18-opt_13-opt_16-opt_4,4,377.603
ip_0,ip_4,ip_0_ip_4_p9,opt_0,opt_4,opt_0-opt_18-opt_14-opt_4,3,398.608
ip_0,ip_5,ip_0_ip_5_p0,opt_0,opt_5,opt_0-opt_14-opt_7-opt_5,3,1005.156
ip_0,ip_5,ip_0_ip_5_p1,opt_0,opt_5,opt_0-opt_14-opt_7-opt_25-opt_5,4,1064.751
ip_0,ip_5,ip_0_ip_5_p2,opt_0,opt_5,opt_0-opt_18-opt_14-opt_7-opt_5,4,1091.310
ip_0,ip_5,ip_0_ip_5_p3,opt_0,opt_5,opt_0-opt_14-opt_7-opt_28-opt_5,4,1105.361
ip_0,ip_5,ip_0_ip_5_p4,opt_0,opt_5,opt_0-opt_14-opt_3-opt_11-opt_28-opt_5,5,1120.314
ip_0,ip_5,ip_0_ip_5_p5,opt_0,opt_5,opt_0-opt_14-opt_3-opt_27-opt_11-opt_28-opt_5,6,1121.946
ip_0,ip_5,ip_0_ip_5_p6,opt_0,opt_5,opt_0-opt_14-opt_4-opt_27-opt_11-opt_28-opt_5,6,1139.338
ip_0,ip_5,ip_0_ip_5_p7,opt_0,opt_5,opt_0-opt_16-opt_27-opt_11-opt_28-opt_5,5,1147.063
ip_0,ip_5,ip_0_ip_5_p8,opt_0,opt_5,opt_0-opt_18-opt_14-opt_7-opt_25-opt_5,5,1150.905
ip_0,ip_5,ip_0_ip_5_p9,opt_0,opt_5,opt_0-opt_16-opt_4-opt_27-opt_11-opt_28-opt_5,6,1154.084
ip_0,ip_6,ip_0_ip_6_p0,opt_0,opt_6,opt_0-opt_8-opt_6,2,382.487
ip_0,ip_6,ip_0_ip_6_p1,opt_0,opt_6,opt_0-opt_14-opt_6,2,527.488
ip_0,ip_6,ip_0_ip_6_p2,opt_0,opt_6,opt_0-opt_18-opt_14-opt_6,3,613.642
ip_0,ip_6,ip_0_ip_6_p3,opt_0,opt_6,opt_0-opt_18-opt_8-opt_6,3,653.320
ip_0,ip_6,ip_0_ip_6_p4,opt_0,opt_6,opt_0-opt_13-opt_14-opt_6,3,694.425
