lightpath_id,ip_link_id,src_ip_node_id,dst_ip_node_id,selected_path_id,num_lightpaths,capacity_gbps,solution_type
lp_0,ip_link_0,ip_0,ip_26,ip_0_ip_26_p0,1,100,baseline_initial
lp_1,ip_link_1,ip_1,ip_4,ip_1_ip_4_p0,1,100,baseline_initial
lp_2,ip_link_2,ip_10,ip_19,ip_10_ip_19_p0,1,100,baseline_initial
lp_3,ip_link_3,ip_10,ip_20,ip_10_ip_20_p0,1,100,baseline_initial
lp_4,ip_link_4,ip_10,ip_25,ip_10_ip_25_p0,1,100,baseline_initial
lp_5,ip_link_5,ip_11,ip_5,ip_5_ip_11_p0,1,100,baseline_initial
lp_6,ip_link_6,ip_12,ip_25,ip_12_ip_25_p0,1,100,baseline_initial
lp_7,ip_link_7,ip_12,ip_26,ip_12_ip_26_p0,1,100,baseline_initial
lp_8,ip_link_8,ip_12,ip_31,ip_12_ip_31_p0,1,100,baseline_initial
lp_9,ip_link_9,ip_13,ip_14,ip_13_ip_14_p0,1,100,baseline_initial
lp_10,ip_link_10,ip_13,ip_16,ip_13_ip_16_p0,1,100,baseline_initial
lp_11,ip_link_11,ip_13,ip_26,ip_13_ip_26_p0,1,100,baseline_initial
lp_12,ip_link_12,ip_13,ip_4,ip_4_ip_13_p0,1,100,baseline_initial
lp_13,ip_link_13,ip_14,ip_16,ip_14_ip_16_p0,1,100,baseline_initial
lp_14,ip_link_14,ip_14,ip_19,ip_14_ip_19_p0,1,100,baseline_initial
lp_15,ip_link_15,ip_14,ip_26,ip_14_ip_26_p0,1,100,baseline_initial
lp_16,ip_link_16,ip_15,ip_28,ip_15_ip_28_p0,1,100,baseline_initial
lp_17,ip_link_17,ip_15,ip_31,ip_15_ip_31_p0,1,100,baseline_initial
lp_18,ip_link_18,ip_15,ip_6,ip_6_ip_15_p0,1,100,baseline_initial
lp_19,ip_link_19,ip_16,ip_21,ip_16_ip_21_p0,1,100,baseline_initial
lp_20,ip_link_20,ip_16,ip_27,ip_16_ip_27_p0,1,100,baseline_initial
lp_21,ip_link_21,ip_16,ip_4,ip_4_ip_16_p0,1,100,baseline_initial
lp_22,ip_link_22,ip_17,ip_6,ip_6_ip_17_p0,1,100,baseline_initial
lp_23,ip_link_23,ip_18,ip_24,ip_18_ip_24_p0,1,100,baseline_initial
lp_24,ip_link_24,ip_19,ip_7,ip_7_ip_19_p0,1,100,baseline_initial
lp_25,ip_link_25,ip_2,ip_24,ip_2_ip_24_p0,1,100,baseline_initial
lp_26,ip_link_26,ip_2,ip_9,ip_2_ip_9_p0,1,100,baseline_initial
lp_27,ip_link_27,ip_20,ip_24,ip_20_ip_24_p0,1,100,baseline_initial
lp_28,ip_link_28,ip_20,ip_31,ip_20_ip_31_p0,1,100,baseline_initial
lp_29,ip_link_29,ip_21,ip_26,ip_21_ip_26_p0,1,100,baseline_initial
lp_30,ip_link_30,ip_22,ip_6,ip_6_ip_22_p0,1,100,baseline_initial
lp_31,ip_link_31,ip_23,ip_26,ip_23_ip_26_p0,1,100,baseline_initial
lp_32,ip_link_32,ip_24,ip_25,ip_24_ip_25_p0,1,100,baseline_initial
lp_33,ip_link_33,ip_24,ip_7,ip_7_ip_24_p0,1,100,baseline_initial
lp_34,ip_link_34,ip_25,ip_7,ip_7_ip_25_p0,1,100,baseline_initial
lp_35,ip_link_35,ip_26,ip_29,ip_26_ip_29_p0,1,100,baseline_initial
lp_36,ip_link_36,ip_26,ip_3,ip_3_ip_26_p0,1,100,baseline_initial
lp_37,ip_link_37,ip_26,ip_8,ip_8_ip_26_p0,1,100,baseline_initial
lp_38,ip_link_38,ip_27,ip_3,ip_3_ip_27_p0,1,100,baseline_initial
lp_39,ip_link_39,ip_28,ip_4,ip_4_ip_28_p0,1,100,baseline_initial
lp_40,ip_link_40,ip_28,ip_8,ip_8_ip_28_p0,1,100,baseline_initial
lp_41,ip_link_41,ip_30,ip_8,ip_8_ip_30_p0,1,100,baseline_initial
lp_42,ip_link_42,ip_4,ip_9,ip_4_ip_9_p0,1,100,baseline_initial
lp_43,ip_link_43,ip_5,ip_8,ip_5_ip_8_p0,1,100,baseline_initial
lp_44,ip_link_44,ip_6,ip_8,ip_6_ip_8_p0,1,100,baseline_initial
