lightpath_id,ip_link_id,segment_order,optical_link_id,src_optical_node_id,dst_optical_node_id,slot_index,status
lp_0,ip_link_0,0,of_1,opt_0,opt_14,,planned
lp_0,ip_link_0,1,of_46,opt_14,opt_3,,planned
lp_0,ip_link_0,2,of_120,opt_3,opt_9,,planned
lp_0,ip_link_0,3,of_107,opt_9,opt_26,,planned
lp_1,ip_link_1,0,of_7,opt_1,opt_21,,planned
lp_1,ip_link_1,1,of_91,opt_21,opt_9,,planned
lp_1,ip_link_1,2,of_112,opt_9,opt_27,,planned
lp_1,ip_link_1,3,of_110,opt_27,opt_4,,planned
lp_2,ip_link_2,0,of_13,opt_10,opt_19,,planned
lp_3,ip_link_3,0,of_14,opt_10,opt_20,,planned
lp_4,ip_link_4,0,of_16,opt_10,opt_25,,planned
lp_5,ip_link_5,0,of_113,opt_5,opt_28,,planned
lp_5,ip_link_5,1,of_24,opt_28,opt_11,,planned
lp_6,ip_link_6,0,of_36,opt_12,opt_9,,planned
lp_6,ip_link_6,1,of_106,opt_9,opt_25,,planned
lp_7,ip_link_7,0,of_34,opt_12,opt_26,,planned
lp_8,ip_link_8,0,of_35,opt_12,opt_29,,planned
lp_8,ip_link_8,1,of_116,opt_29,opt_31,,planned
lp_9,ip_link_9,0,of_37,opt_13,opt_14,,planned
lp_10,ip_link_10,0,of_38,opt_13,opt_16,,planned
lp_11,ip_link_11,0,of_40,opt_13,opt_27,,planned
lp_11,ip_link_11,1,of_112,opt_27,opt_9,,planned
lp_11,ip_link_11,2,of_107,opt_9,opt_26,,planned
lp_12,ip_link_12,0,of_42,opt_4,opt_13,,planned
lp_13,ip_link_13,0,of_43,opt_14,opt_16,,planned
lp_14,ip_link_14,0,of_46,opt_14,opt_3,,planned
lp_14,ip_link_14,1,of_120,opt_3,opt_9,,planned
lp_14,ip_link_14,2,of_77,opt_9,opt_19,,planned
lp_15,ip_link_15,0,of_46,opt_14,opt_3,,planned
lp_15,ip_link_15,1,of_120,opt_3,opt_9,,planned
lp_15,ip_link_15,2,of_107,opt_9,opt_26,,planned
lp_16,ip_link_16,0,of_52,opt_15,opt_29,,planned
lp_16,ip_link_16,1,of_108,opt_29,opt_27,,planned
lp_16,ip_link_16,2,of_23,opt_27,opt_11,,planned
lp_16,ip_link_16,3,of_24,opt_11,opt_28,,planned
lp_17,ip_link_17,0,of_53,opt_15,opt_31,,planned
lp_18,ip_link_18,0,of_54,opt_6,opt_15,,planned
lp_19,ip_link_19,0,of_56,opt_16,opt_27,,planned
lp_19,ip_link_19,1,of_112,opt_27,opt_9,,planned
lp_19,ip_link_19,2,of_91,opt_9,opt_21,,planned
lp_20,ip_link_20,0,of_56,opt_16,opt_27,,planned
lp_21,ip_link_21,0,of_60,opt_4,opt_16,,planned
lp_22,ip_link_22,0,of_118,opt_6,opt_29,,planned
lp_22,ip_link_22,1,of_115,opt_29,opt_3,,planned
lp_22,ip_link_22,2,of_120,opt_3,opt_9,,planned
lp_22,ip_link_22,3,of_67,opt_9,opt_17,,planned
lp_23,ip_link_23,0,of_44,opt_18,opt_14,,planned
lp_23,ip_link_23,1,of_50,opt_14,opt_7,,planned
lp_23,ip_link_23,2,of_101,opt_7,opt_24,,planned
lp_24,ip_link_24,0,of_76,opt_7,opt_19,,planned
lp_25,ip_link_25,0,of_82,opt_2,opt_9,,planned
