ip_link_id,src_ip_node_id,dst_ip_node_id,length_geo,link_role
ip_link_0,ip_0,ip_26,961.094,initial_topology
ip_link_1,ip_1,ip_4,803.086,initial_topology
ip_link_2,ip_10,ip_19,82.349,initial_topology
ip_link_3,ip_10,ip_20,80.436,initial_topology
ip_link_4,ip_10,ip_25,250.361,initial_topology
ip_link_5,ip_11,ip_5,329.081,initial_topology
ip_link_6,ip_12,ip_25,761.635,initial_topology
ip_link_7,ip_12,ip_26,225.764,initial_topology
ip_link_8,ip_12,ip_31,445.286,initial_topology
ip_link_9,ip_13,ip_14,104.964,initial_topology
ip_link_10,ip_13,ip_16,65.458,initial_topology
ip_link_11,ip_13,ip_26,823.048,initial_topology
ip_link_12,ip_13,ip_4,74.171,initial_topology
ip_link_13,ip_14,ip_16,117.054,initial_topology
ip_link_14,ip_14,ip_19,701.158,initial_topology
ip_link_15,ip_14,ip_26,780.402,initial_topology
ip_link_16,ip_15,ip_28,789.313,initial_topology
ip_link_17,ip_15,ip_31,27.408,initial_topology
ip_link_18,ip_15,ip_6,91.735,initial_topology
ip_link_19,ip_16,ip_21,694.319,initial_topology
ip_link_20,ip_16,ip_27,263.399,initial_topology
ip_link_21,ip_16,ip_4,21.479,initial_topology
ip_link_22,ip_17,ip_6,728.245,initial_topology
ip_link_23,ip_18,ip_24,793.114,initial_topology
ip_link_24,ip_19,ip_7,286.705,initial_topology
ip_link_25,ip_2,ip_24,786.821,initial_topology
ip_link_26,ip_2,ip_9,272.802,initial_topology
ip_link_27,ip_20,ip_24,94.530,initial_topology
ip_link_28,ip_20,ip_31,907.207,initial_topology
ip_link_29,ip_21,ip_26,95.995,initial_topology
ip_link_30,ip_22,ip_6,598.929,initial_topology
ip_link_31,ip_23,ip_26,464.397,initial_topology
ip_link_32,ip_24,ip_25,94.928,initial_topology
ip_link_33,ip_24,ip_7,110.902,initial_topology
ip_link_34,ip_25,ip_7,76.537,initial_topology
ip_link_35,ip_26,ip_29,519.204,initial_topology
ip_link_36,ip_26,ip_3,472.312,initial_topology
ip_link_37,ip_26,ip_8,958.590,initial_topology
ip_link_38,ip_27,ip_3,46.616,initial_topology
ip_link_39,ip_28,ip_4,369.814,initial_topology
ip_link_40,ip_28,ip_8,758.139,initial_topology
ip_link_41,ip_30,ip_8,435.393,initial_topology
ip_link_42,ip_4,ip_9,486.312,initial_topology
ip_link_43,ip_5,ip_8,865.139,initial_topology
ip_link_44,ip_6,ip_8,255.716,initial_topology
