optical_link_id,src_optical_node_id,dst_optical_node_id,length_km,fiber_capacity_lightpaths
of_0,opt_0,opt_13,260.114,100
of_1,opt_0,opt_14,209.762,100
of_2,opt_0,opt_16,307.132,100
of_3,opt_0,opt_18,135.792,100
of_4,opt_0,opt_20,875.174,100
of_5,opt_0,opt_8,124.907,100
of_6,opt_1,opt_11,571.121,100
of_7,opt_1,opt_21,221.496,100
of_8,opt_1,opt_25,652.316,100
of_9,opt_1,opt_26,267.406,100
of_10,opt_1,opt_6,923.179,100
of_11,opt_10,opt_11,291.268,100
of_12,opt_10,opt_17,185.484,100
of_13,opt_10,opt_19,91.614,100
of_14,opt_10,opt_20,79.177,100
of_15,opt_10,opt_24,162.717,100
of_16,opt_10,opt_25,249.566,100
of_17,opt_10,opt_28,375.482,100
of_18,opt_10,opt_7,211.215,100
of_19,opt_11,opt_17,260.737,100
of_20,opt_11,opt_20,268.089,100
of_21,opt_11,opt_24,303.620,100
of_22,opt_11,opt_25,289.392,100
of_23,opt_11,opt_27,245.944,100
of_24,opt_11,opt_28,204.200,100
of_25,opt_11,opt_3,275.847,100
of_26,opt_11,opt_7,209.386,100
of_27,opt_12,opt_13,653.528,100
of_28,opt_12,opt_16,584.789,100
of_29,opt_12,opt_19,525.644,100
of_30,opt_12,opt_2,108.445,100
of_31,opt_12,opt_21,216.580,100
of_32,opt_12,opt_22,261.513,100
of_33,opt_12,opt_23,310.519,100
of_34,opt_12,opt_26,223.298,100
of_35,opt_12,opt_29,294.809,100
of_36,opt_12,opt_9,197.930,100
of_37,opt_13,opt_14,116.585,100
of_38,opt_13,opt_16,75.331,100
of_39,opt_13,opt_18,146.412,100
of_40,opt_13,opt_27,335.496,100
of_41,opt_13,opt_30,91.769,100
of_42,opt_13,opt_4,86.638,100
of_43,opt_14,opt_16,115.509,100
of_44,opt_14,opt_18,160.124,100
of_45,opt_14,opt_2,531.661,100
of_46,opt_14,opt_3,302.636,100
of_47,opt_14,opt_30,207.097,100
of_48,opt_14,opt_4,102.692,100
of_49,opt_14,opt_6,317.726,100
of_50,opt_14,opt_7,591.093,100
of_51,opt_14,opt_8,294.964,100
of_52,opt_15,opt_29,168.043,100
of_53,opt_15,opt_31,27.064,100
of_54,opt_15,opt_6,97.280,100
of_55,opt_16,opt_18,212.204,100
of_56,opt_16,opt_27,261.918,100
of_57,opt_16,opt_3,281.827,100
of_58,opt_16,opt_30,146.641,100
of_59,opt_16,opt_31,487.972,100
of_60,opt_16,opt_4,20.068,100
of_61,opt_17,opt_19,132.304,100
of_62,opt_17,opt_20,241.586,100
of_63,opt_17,opt_21,304.612,100
of_64,opt_17,opt_24,327.334,100
of_65,opt_17,opt_26,401.383,100
of_66,opt_17,opt_8,870.331,100
of_67,opt_17,opt_9,208.768,100
of_68,opt_18,opt_21,871.956,100
of_69,opt_18,opt_3,460.472,100
of_70,opt_18,opt_30,177.188,100
of_71,opt_18,opt_4,214.702,100
of_72,opt_18,opt_8,259.948,100
of_73,opt_19,opt_20,170.001,100
of_74,opt_19,opt_24,254.297,100
of_75,opt_19,opt_26,481.682,100
of_76,opt_19,opt_7,293.855,100
of_77,opt_19,opt_9,334.933,100
of_78,opt_2,opt_22,244.242,100
of_79,opt_2,opt_23,228.524,100
of_80,opt_2,opt_29,208.596,100
of_81,opt_2,opt_3,297.744,100
of_82,opt_2,opt_9,274.147,100
of_83,opt_20,opt_21,540.506,100
of_84,opt_20,opt_24,87.406,100
of_85,opt_20,opt_25,170.414,100
of_86,opt_20,opt_5,338.270,100
of_87,opt_20,opt_7,139.072,100
of_88,opt_21,opt_24,627.752,100
of_89,opt_21,opt_25,693.056,100
of_90,opt_21,opt_26,96.807,100
of_91,opt_21,opt_9,186.666,100
of_92,opt_22,opt_23,178.282,100
of_93,opt_22,opt_25,1025.108,100
of_94,opt_23,opt_27,533.814,100
of_95,opt_23,opt_29,321.908,100
of_96,opt_23,opt_31,333.706,100
of_97,opt_23,opt_4,702.051,100
of_98,opt_24,opt_25,100.122,100
of_99,opt_24,opt_28,286.533,100
of_100,opt_24,opt_5,280.900,100
of_101,opt_24,opt_7,114.374,100
of_102,opt_25,opt_28,208.445,100
of_103,opt_25,opt_29,790.860,100
of_104,opt_25,opt_5,181.612,100
of_105,opt_25,opt_7,82.284,100
of_106,opt_25,opt_9,569.831,100
of_107,opt_26,opt_9,267.707,100
of_108,opt_27,opt_29,257.541,100
of_109,opt_27,opt_3,31.535,100
of_110,opt_27,opt_4,248.871,100
of_111,opt_27,opt_7,451.742,100
of_112,opt_27,opt_9,241.132,100
of_113,opt_28,opt_5,127.869,100
of_114,opt_28,opt_7,176.637,100
of_115,opt_29,opt_3,229.486,100
of_116,opt_29,opt_31,179.218,100
of_117,opt_29,opt_5,801.414,100
of_118,opt_29,opt_6,231.237,100
of_119,opt_3,opt_4,267.401,100
of_120,opt_3,opt_9,231.683,100
of_121,opt_30,opt_4,164.342,100
of_122,opt_31,opt_6,116.809,100
of_123,opt_5,opt_7,204.301,100
of_124,opt_6,opt_8,257.580,100
