end_user_node_id,ip_node_id,pop_id,user_group_size,demand_scale_gbps,distance_to_ip
user_0,ip_19,pop_19,1345364,130,51.561
user_1,ip_7,pop_7,467115,216,58.550
user_2,ip_1,pop_1,1827387,114,38.252
user_3,ip_6,pop_6,862501,158,99.141
user_4,ip_2,pop_2,1618387,43,47.225
user_5,ip_11,pop_11,481074,167,51.114
user_6,ip_19,pop_19,560896,135,53.874
user_7,ip_17,pop_17,1854417,281,41.631
user_8,ip_6,pop_6,1626610,43,36.284
user_9,ip_7,pop_7,437835,153,73.061
user_10,ip_13,pop_13,1490542,268,16.929
user_11,ip_23,pop_23,1061298,173,56.843
user_12,ip_1,pop_1,791577,38,67.222
user_13,ip_17,pop_17,1630639,197,52.936
user_14,ip_31,pop_31,545376,79,46.133
user_15,ip_8,pop_8,1574307,266,36.654
user_16,ip_29,pop_29,1006833,192,66.852
user_17,ip_23,pop_23,281427,189,31.081
user_18,ip_31,pop_31,777528,242,73.224
user_19,ip_4,pop_4,1644641,278,54.862
user_20,ip_27,pop_27,1135922,154,9.177
user_21,ip_21,pop_21,1959901,166,34.905
user_22,ip_13,pop_13,346633,61,72.823
user_23,ip_1,pop_1,1479161,124,42.160
user_24,ip_6,pop_6,931370,50,65.510
user_25,ip_9,pop_9,1438063,86,25.390
user_26,ip_4,pop_4,1444011,206,31.865
user_27,ip_23,pop_23,1930649,216,63.556
user_28,ip_18,pop_18,1679454,91,39.867
user_29,ip_29,pop_29,599188,294,55.915
