ip_node_id,pop_id,optical_node_id,collocation_type,distance_to_optical
ip_0,pop_0,opt_0,same_pop,0.000
ip_1,pop_1,opt_1,same_pop,0.000
ip_2,pop_2,opt_2,same_pop,0.000
ip_3,pop_3,opt_3,same_pop,0.000
ip_4,pop_4,opt_4,same_pop,0.000
ip_5,pop_5,opt_5,same_pop,0.000
ip_6,pop_6,opt_6,same_pop,0.000
ip_7,pop_7,opt_7,same_pop,0.000
ip_8,pop_8,opt_8,same_pop,0.000
ip_9,pop_9,opt_9,same_pop,0.000
ip_10,pop_10,opt_10,same_pop,0.000
ip_11,pop_11,opt_11,same_pop,0.000
ip_12,pop_12,opt_12,same_pop,0.000
ip_13,pop_13,opt_13,same_pop,0.000
ip_14,pop_14,opt_14,same_pop,0.000
ip_15,pop_15,opt_15,same_pop,0.000
ip_16,pop_16,opt_16,same_pop,0.000
ip_17,pop_17,opt_17,same_pop,0.000
ip_18,pop_18,opt_18,same_pop,0.000
ip_19,pop_19,opt_19,same_pop,0.000
ip_20,pop_20,opt_20,same_pop,0.000
ip_21,pop_21,opt_21,same_pop,0.000
ip_22,pop_22,opt_22,same_pop,0.000
ip_23,pop_23,opt_23,same_pop,0.000
ip_24,pop_24,opt_24,same_pop,0.000
ip_25,pop_25,opt_25,same_pop,0.000
ip_26,pop_26,opt_26,same_pop,0.000
ip_27,pop_27,opt_27,same_pop,0.000
ip_28,pop_28,opt_28,same_pop,0.000
ip_29,pop_29,opt_29,same_pop,0.000
ip_30,pop_30,opt_30,same_pop,0.000
ip_31,pop_31,opt_31,same_pop,0.000
