end_user_node_id,x,y,user_group_size,demand_scale_gbps
user_0,392.939,159.510,1345364,130
user_1,578.611,96.922,467115,216
user_2,61.661,188.232,1827387,114
user_3,677.631,890.941,862501,158
user_4,198.838,720.986,1618387,43
user_5,578.385,370.156,481074,167
user_6,303.328,104.188,560896,135
user_7,326.736,240.248,1854417,281
user_8,574.318,930.463,1626610,43
user_9,563.257,110.726,437835,153
user_10,855.952,592.794,1490542,268
user_11,207.757,948.369,1061298,173
user_12,36.156,158.179,791577,38
user_13,307.866,249.822,1630639,197
user_14,526.638,1000.000,545376,79
user_15,841.299,1000.000,1574307,266
user_16,459.425,731.735,1006833,192
user_17,155.997,908.893,281427,189
user_18,437.741,921.224,777528,242
user_19,732.570,625.396,1644641,278
user_20,523.480,532.771,1135922,154
user_21,113.859,403.535,1959901,166
user_22,893.168,647.634,346633,61
user_23,76.820,255.631,1479161,124
user_24,660.491,925.938,931370,50
user_25,320.663,467.880,1438063,86
user_26,748.029,557.463,1444011,206
user_27,93.888,913.006,1930649,216
user_28,920.138,685.257,1679454,91
user_29,500.393,792.605,599188,294
