ip_node_id,pop_id,optical_node_id,role,x,y,transceivers
ip_0,pop_0,opt_0,cdn_peering,913.510,856.017,100
ip_1,pop_1,opt_1,core,48.698,224.221,100
ip_2,pop_2,opt_2,core,245.781,726.140,100
ip_3,pop_3,opt_3,user_access,488.561,575.711,100
ip_4,pop_4,opt_4,core,767.245,582.882,100
ip_5,pop_5,opt_5,cdn_peering,846.287,101.777,100
ip_6,pop_6,opt_6,user_access,601.522,954.473,100
ip_7,pop_7,opt_7,core,636.237,107.284,100
ip_8,pop_8,opt_8,core,856.938,966.850,100
ip_9,pop_9,opt_9,user_access,297.181,458.224,100
ip_10,pop_10,opt_10,cdn_peering,426.463,98.597,100
ip_11,pop_11,opt_11,core,607.304,328.010,100
ip_12,pop_12,opt_12,user_access,198.005,636.512,100
ip_13,pop_13,opt_13,core,839.853,598.029,100
ip_14,pop_14,opt_14,core,780.146,684.357,100
ip_15,pop_15,opt_15,cdn_peering,509.811,956.576,100
ip_16,pop_16,opt_16,core,782.047,567.318,100
ip_17,pop_17,opt_17,core,357.456,268.344,100
ip_18,pop_18,opt_18,user_access,928.974,724.132,100
ip_19,pop_19,opt_19,core,350.457,130.290,100
ip_20,pop_20,opt_20,cdn_peering,500.341,66.786,100
ip_21,pop_21,opt_21,user_access,100.316,435.706,100
ip_22,pop_22,opt_22,core,16.941,824.161,100
ip_23,pop_23,opt_23,core,151.585,939.659,100
ip_24,pop_24,opt_24,user_access,578.008,12.899,100
ip_25,pop_25,opt_25,cdn_peering,669.464,38.336,100
ip_26,pop_26,opt_26,core,23.499,493.275,100
ip_27,pop_27,opt_27,user_access,519.942,541.239,100
ip_28,pop_28,opt_28,core,775.014,213.150,100
ip_29,pop_29,opt_29,core,444.646,796.933,100
ip_30,pop_30,opt_30,cdn_peering,922.800,536.467,100
ip_31,pop_31,opt_31,core,488.586,973.917,100
