optical_node_id,pop_id,x,y,node_type
opt_0,pop_0,906.371,851.400,roadm
opt_1,pop_1,45.817,226.079,roadm
opt_2,pop_2,244.520,733.092,roadm
opt_3,pop_3,494.945,572.036,roadm
opt_4,pop_4,761.955,586.487,roadm
opt_5,pop_5,841.219,99.918,roadm
opt_6,pop_6,607.407,958.797,roadm
opt_7,pop_7,637.365,113.422,roadm
opt_8,pop_8,864.778,969.179,roadm
opt_9,pop_9,290.606,462.846,roadm
opt_10,pop_10,427.100,93.407,roadm
opt_11,pop_11,609.015,320.880,roadm
opt_12,pop_12,195.433,636.393,roadm
opt_13,pop_13,847.830,597.959,roadm
opt_14,pop_14,774.302,688.434,roadm
opt_15,pop_15,510.547,949.772,roadm
opt_16,pop_16,776.771,572.951,roadm
opt_17,pop_17,354.534,264.107,roadm
opt_18,pop_18,931.675,717.986,roadm
opt_19,pop_19,344.111,132.214,roadm
opt_20,pop_20,503.924,74.248,roadm
opt_21,pop_21,105.418,439.405,roadm
opt_22,pop_22,20.774,831.029,roadm
opt_23,pop_23,158.147,944.665,roadm
opt_24,pop_24,572.072,19.516,roadm
opt_25,pop_25,670.457,38.086,roadm
opt_26,pop_26,24.562,492.639,roadm
opt_27,pop_27,515.992,548.553,roadm
opt_28,pop_28,782.803,213.664,roadm
opt_29,pop_29,443.504,795.682,roadm
opt_30,pop_30,919.931,541.188,roadm
opt_31,pop_31,491.001,968.491,roadm
