optical_link_id,src_optical_node_id,dst_optical_node_id,slot_index,status
of_0,opt_0,opt_13,0,free
of_0,opt_0,opt_13,1,free
of_0,opt_0,opt_13,2,free
of_0,opt_0,opt_13,3,free
of_0,opt_0,opt_13,4,free
of_0,opt_0,opt_13,5,free
of_0,opt_0,opt_13,6,free
of_0,opt_0,opt_13,7,free
of_0,opt_0,opt_13,8,free
of_0,opt_0,opt_13,9,free
of_0,opt_0,opt_13,10,free
of_0,opt_0,opt_13,11,free
of_0,opt_0,opt_13,12,free
of_0,opt_0,opt_13,13,free
of_0,opt_0,opt_13,14,free
of_0,opt_0,opt_13,15,free
of_0,opt_0,opt_13,16,free
of_0,opt_0,opt_13,17,free
of_0,opt_0,opt_13,18,free
of_0,opt_0,opt_13,19,free
of_0,opt_0,opt_13,20,free
of_0,opt_0,opt_13,21,free
of_0,opt_0,opt_13,22,free
of_0,opt_0,opt_13,23,free
of_0,opt_0,opt_13,24,free
of_0,opt_0,opt_13,25,free
of_0,opt_0,opt_13,26,free
of_0,opt_0,opt_13,27,free
of_0,opt_0,opt_13,28,free
of_0,opt_0,opt_13,29,free
of_0,opt_0,opt_13,30,free
of_0,opt_0,opt_13,31,free
of_0,opt_0,opt_13,32,free
of_0,opt_0,opt_13,33,free
of_0,opt_0,opt_13,34,free
of_0,opt_0,opt_13,35,free
of_0,opt_0,opt_13,36,free
of_0,opt_0,opt_13,37,free
of_0,opt_0,opt_13,38,free
of_0,opt_0,opt_13,39,free
of_0,opt_0,opt_13,40,free
of_0,opt_0,opt_13,41,free
of_0,opt_0,opt_13,42,free
of_0,opt_0,opt_13,43,free
of_0,opt_0,opt_13,44,free
of_0,opt_0,opt_13,45,free
of_0,opt_0,opt_13,46,free
of_0,opt_0,opt_13,47,free
of_0,opt_0,opt_13,48,free
of_0,opt_0,opt_13,49,free
of_0,opt_0,opt_13,50,free
of_0,opt_0,opt_13,51,free
of_0,opt_0,opt_13,52,free
of_0,opt_0,opt_13,53,free
of_0,opt_0,opt_13,54,free
of_0,opt_0,opt_13,55,free
of_0,opt_0,opt_13,56,free
of_0,opt_0,opt_13,57,free
of_0,opt_0,opt_13,58,free
of_0,opt_0,opt_13,59,free
of_0,opt_0,opt_13,60,free
of_0,opt_0,opt_13,61,free
of_0,opt_0,opt_13,62,free
of_0,opt_0,opt_13,63,free
of_0,opt_0,opt_13,64,free
of_0,opt_0,opt_13,65,free
of_0,opt_0,opt_13,66,free
of_0,opt_0,opt_13,67,free
of_0,opt_0,opt_13,68,free
of_0,opt_0,opt_13,69,free
of_0,opt_0,opt_13,70,free
of_0,opt_0,opt_13,71,free
of_0,opt_0,opt_13,72,free
of_0,opt_0,opt_13,73,free
of_0,opt_0,opt_13,74,free
of_0,opt_0,opt_13,75,free
of_0,opt_0,opt_13,76,free
of_0,opt_0,opt_13,77,free
of_0,opt_0,opt_13,78,free
of_0,opt_0,opt_13,79,free
of_0,opt_0,opt_13,80,free
of_0,opt_0,opt_13,81,free
of_0,opt_0,opt_13,82,free
of_0,opt_0,opt_13,83,free
of_0,opt_0,opt_13,84,free
of_0,opt_0,opt_13,85,free
of_0,opt_0,opt_13,86,free
of_0,opt_0,opt_13,87,free
of_0,opt_0,opt_13,88,free
of_0,opt_0,opt_13,89,free
of_0,opt_0,opt_13,90,free
of_0,opt_0,opt_13,91,free
of_0,opt_0,opt_13,92,free
of_0,opt_0,opt_13,93,free
of_0,opt_0,opt_13,94,free
of_0,opt_0,opt_13,95,free
of_0,opt_0,opt_13,96,free
of_0,opt_0,opt_13,97,free
of_0,opt_0,opt_13,98,free
of_0,opt_0,opt_13,99,free
of_1,opt_0,opt_14,0,free
of_1,opt_0,opt_14,1,free
of_1,opt_0,opt_14,2,free
of_1,opt_0,opt_14,3,free
of_1,opt_0,opt_14,4,free
