request_id,traffic_type,arrival_time,duration,end_time,bandwidth_gbps,src_optical_node_id,dst_optical_node_id,shortest_hops
bg_dyn_0,BG,0.194,11.332,11.526,10.775,opt_0,opt_8,1
bg_dyn_1,BG,0.459,5.867,6.326,7.902,opt_14,opt_18,1
bg_dyn_2,BG,0.482,10.544,11.026,7.435,opt_25,opt_9,1
bg_dyn_3,BG,0.696,8.387,9.084,6.467,opt_26,opt_9,1
bg_dyn_4,BG,0.735,8.964,9.698,6.947,opt_3,opt_29,1
bg_dyn_5,BG,0.789,11.485,12.274,15.551,opt_27,opt_21,2
bg_dyn_6,BG,1.035,7.298,8.333,11.573,opt_2,opt_22,1
bg_dyn_7,BG,1.430,10.766,12.196,8.645,opt_4,opt_13,1
bg_dyn_8,BG,1.508,7.459,8.967,10.637,opt_12,opt_16,1
bg_dyn_9,BG,1.677,11.249,12.926,6.224,opt_31,opt_1,2
bg_dyn_10,BG,2.407,10.333,12.740,8.385,opt_14,opt_30,1
bg_dyn_11,BG,2.546,11.223,13.768,9.699,opt_18,opt_16,1
bg_dyn_12,BG,2.607,12.883,15.491,7.301,opt_12,opt_26,1
bg_dyn_13,BG,2.640,10.600,13.241,8.394,opt_31,opt_23,1
bg_dyn_14,BG,2.691,13.264,15.956,8.062,opt_16,opt_31,1
bg_dyn_15,BG,2.699,8.190,10.889,9.273,opt_27,opt_29,1
bg_dyn_16,BG,3.399,6.817,10.216,12.430,opt_17,opt_21,1
bg_dyn_17,BG,3.453,5.983,9.435,8.743,opt_31,opt_27,2
bg_dyn_18,BG,3.875,7.993,11.868,9.939,opt_14,opt_18,1
bg_dyn_19,BG,3.891,7.614,11.505,16.066,opt_14,opt_4,1
bg_dyn_20,BG,3.945,9.614,13.559,8.257,opt_3,opt_16,1
bg_dyn_21,BG,4.314,8.229,12.543,15.444,opt_8,opt_18,1
bg_dyn_22,BG,4.384,7.661,12.044,7.288,opt_8,opt_14,1
bg_dyn_23,BG,4.449,8.303,12.751,12.306,opt_11,opt_18,2
bg_dyn_24,BG,4.565,7.322,11.887,9.214,opt_28,opt_25,1
bg_dyn_25,BG,4.687,8.056,12.743,11.003,opt_3,opt_14,1
bg_dyn_26,BG,4.913,12.365,17.278,11.923,opt_8,opt_17,1
bg_dyn_27,BG,5.230,5.026,10.256,6.516,opt_5,opt_25,1
bg_dyn_28,BG,5.254,13.657,18.911,5.392,opt_25,opt_28,1
bg_dyn_29,BG,6.154,10.661,16.814,14.733,opt_29,opt_14,2
bg_dyn_30,BG,6.878,9.186,16.064,15.267,opt_8,opt_14,1
bg_dyn_31,BG,7.116,13.849,20.966,12.281,opt_20,opt_11,1
bg_dyn_32,BG,7.340,13.947,21.287,13.364,opt_27,opt_3,1
bg_dyn_33,BG,7.474,5.615,13.090,8.994,opt_20,opt_7,1
bg_dyn_34,BG,7.596,12.103,19.699,11.924,opt_28,opt_7,1
bg_dyn_35,BG,7.627,7.215,14.843,8.137,opt_3,opt_9,1
bg_dyn_36,BG,8.352,13.569,21.921,8.833,opt_2,opt_12,1
bg_dyn_37,BG,8.381,11.413,19.794,7.954,opt_5,opt_29,1
bg_dyn_38,BG,9.213,8.842,18.055,13.965,opt_26,opt_17,1
bg_dyn_39,BG,9.313,12.914,22.227,10.940,opt_25,opt_10,1
bg_dyn_40,BG,9.386,14.284,23.670,9.451,opt_11,opt_3,1
bg_dyn_41,BG,9.397,7.011,16.408,13.330,opt_24,opt_8,2
bg_dyn_42,BG,9.507,12.304,21.811,12.099,opt_20,opt_10,1
bg_dyn_43,BG,9.679,9.478,19.157,11.706,opt_20,opt_17,1
bg_dyn_44,BG,9.731,5.921,15.652,10.735,opt_21,opt_18,1
bg_dyn_45,BG,10.374,5.377,15.751,9.387,opt_14,opt_8,1
bg_dyn_46,BG,10.512,11.546,22.059,6.695,opt_14,opt_18,1
bg_dyn_47,BG,11.734,14.701,26.435,9.334,opt_14,opt_4,1
bg_dyn_48,BG,11.780,11.246,23.026,12.722,opt_2,opt_29,1
bg_dyn_49,BG,11.817,6.384,18.201,9.246,opt_29,opt_23,1
bg_dyn_50,BG,11.886,12.437,24.324,9.641,opt_25,opt_11,1
bg_dyn_51,BG,12.556,9.248,21.804,8.318,opt_2,opt_20,3
bg_dyn_52,BG,14.127,10.459,24.586,7.992,opt_1,opt_29,2
bg_dyn_53,BG,14.326,5.009,19.336,12.341,opt_9,opt_19,1
bg_dyn_54,BG,14.386,6.509,20.895,11.928,opt_20,opt_7,1
bg_dyn_55,BG,14.589,11.603,26.192,8.065,opt_4,opt_7,2
bg_dyn_56,BG,15.692,10.597,26.289,12.944,opt_27,opt_6,2
bg_dyn_57,BG,15.956,10.833,26.789,10.682,opt_13,opt_14,1
bg_dyn_58,BG,16.527,6.265,22.792,13.152,opt_14,opt_1,2
bg_dyn_59,BG,16.598,10.549,27.147,10.744,opt_3,opt_18,1
bg_dyn_60,BG,16.602,6.133,22.735,2.520,opt_24,opt_5,1
bg_dyn_61,BG,16.646,11.670,28.316,11.664,opt_0,opt_13,1
bg_dyn_62,BG,16.793,11.552,28.345,9.834,opt_26,opt_17,1
bg_dyn_63,BG,17.041,9.828,26.868,7.778,opt_16,opt_30,1
bg_dyn_64,BG,17.110,14.075,31.185,8.669,opt_22,opt_14,2
bg_dyn_65,BG,17.278,7.318,24.596,10.558,opt_24,opt_10,1
bg_dyn_66,BG,17.758,10.872,28.630,13.272,opt_25,opt_28,1
bg_dyn_67,BG,17.838,8.011,25.849,9.825,opt_17,opt_9,1
bg_dyn_68,BG,18.880,7.284,26.164,8.394,opt_3,opt_16,1
bg_dyn_69,BG,18.984,14.541,33.525,10.521,opt_14,opt_2,1
bg_dyn_70,BG,19.019,13.711,32.730,9.948,opt_27,opt_3,1
bg_dyn_71,BG,19.414,5.643,25.057,4.193,opt_25,opt_20,1
bg_dyn_72,BG,19.443,6.629,26.072,9.378,opt_7,opt_15,3
bg_dyn_73,BG,19.514,5.176,24.690,11.389,opt_13,opt_4,1
bg_dyn_74,BG,19.652,11.638,31.290,12.695,opt_28,opt_7,1
bg_dyn_75,BG,19.834,14.453,34.288,6.632,opt_24,opt_21,1
bg_dyn_76,BG,20.147,6.773,26.920,9.878,opt_9,opt_27,1
bg_dyn_77,BG,20.150,6.971,27.122,4.563,opt_8,opt_28,3
bg_dyn_78,BG,20.260,7.958,28.218,4.665,opt_23,opt_2,1
bg_dyn_79,BG,20.710,11.590,32.300,9.338,opt_25,opt_10,1
bg_dyn_80,BG,21.682,6.553,28.235,11.974,opt_31,opt_14,2
bg_dyn_81,BG,21.909,5.371,27.279,9.605,opt_16,opt_4,1
bg_dyn_82,BG,22.161,5.049,27.210,7.981,opt_11,opt_25,1
bg_dyn_83,BG,22.663,7.710,30.373,11.829,opt_11,opt_21,2
bg_dyn_84,BG,22.827,12.796,35.623,13.443,opt_11,opt_20,1
