traffic_type,src_optical_node_id,dst_optical_node_id,shortest_hops,weight,probability
BG,opt_0,opt_1,3,4.666667,0.00008298
BG,opt_0,opt_2,2,14.000000,0.00024894
BG,opt_0,opt_3,2,17.500000,0.00031117
BG,opt_0,opt_4,2,15.750000,0.00028006
BG,opt_0,opt_5,2,12.250000,0.00021782
BG,opt_0,opt_6,2,12.250000,0.00021782
BG,opt_0,opt_7,2,19.250000,0.00034229
BG,opt_0,opt_8,1,84.000000,0.00149364
BG,opt_0,opt_9,3,7.777778,0.00013830
BG,opt_0,opt_10,2,15.750000,0.00028006
BG,opt_0,opt_11,2,19.250000,0.00034229
BG,opt_0,opt_12,2,19.250000,0.00034229
BG,opt_0,opt_13,1,126.000000,0.00224046
BG,opt_0,opt_14,1,168.000000,0.00298728
BG,opt_0,opt_15,3,3.111111,0.00005532
BG,opt_0,opt_16,1,154.000000,0.00273834
BG,opt_0,opt_17,2,17.500000,0.00031117
BG,opt_0,opt_18,1,140.000000,0.00248940
BG,opt_0,opt_19,2,15.750000,0.00028006
BG,opt_0,opt_20,1,154.000000,0.00273834
BG,opt_0,opt_21,2,17.500000,0.00031117
BG,opt_0,opt_22,3,3.888889,0.00006915
BG,opt_0,opt_23,3,6.222222,0.00011064
BG,opt_0,opt_24,2,19.250000,0.00034229
BG,opt_0,opt_25,2,22.750000,0.00040453
BG,opt_0,opt_26,3,5.444444,0.00009681
BG,opt_0,opt_27,2,17.500000,0.00031117
BG,opt_0,opt_28,3,5.444444,0.00009681
BG,opt_0,opt_29,3,8.555556,0.00015213
BG,opt_0,opt_30,2,10.500000,0.00018670
BG,opt_0,opt_31,2,10.500000,0.00018670
BG,opt_1,opt_0,3,4.666667,0.00008298
BG,opt_1,opt_2,3,5.333333,0.00009483
BG,opt_1,opt_3,2,15.000000,0.00026672
BG,opt_1,opt_4,3,6.000000,0.00010669
BG,opt_1,opt_5,2,10.500000,0.00018670
BG,opt_1,opt_6,1,84.000000,0.00149364
BG,opt_1,opt_7,2,16.500000,0.00029339
BG,opt_1,opt_8,2,9.000000,0.00016003
BG,opt_1,opt_9,2,15.000000,0.00026672
BG,opt_1,opt_10,2,13.500000,0.00024005
BG,opt_1,opt_11,1,132.000000,0.00234715
BG,opt_1,opt_12,2,16.500000,0.00029339
BG,opt_1,opt_13,3,6.000000,0.00010669
BG,opt_1,opt_14,2,18.000000,0.00032007
BG,opt_1,opt_15,2,6.000000,0.00010669
BG,opt_1,opt_16,3,7.333333,0.00013040
BG,opt_1,opt_17,2,15.000000,0.00026672
BG,opt_1,opt_18,2,15.000000,0.00026672
BG,opt_1,opt_19,2,13.500000,0.00024005
BG,opt_1,opt_20,2,16.500000,0.00029339
BG,opt_1,opt_21,1,120.000000,0.00213377
BG,opt_1,opt_22,2,7.500000,0.00013336
BG,opt_1,opt_23,3,5.333333,0.00009483
BG,opt_1,opt_24,2,16.500000,0.00029339
BG,opt_1,opt_25,1,156.000000,0.00277390
BG,opt_1,opt_26,1,84.000000,0.00149364
BG,opt_1,opt_27,2,15.000000,0.00026672
BG,opt_1,opt_28,2,10.500000,0.00018670
BG,opt_1,opt_29,2,16.500000,0.00029339
BG,opt_1,opt_30,3,4.000000,0.00007113
BG,opt_1,opt_31,2,9.000000,0.00016003
BG,opt_2,opt_0,2,14.000000,0.00024894
BG,opt_2,opt_1,3,5.333333,0.00009483
BG,opt_2,opt_3,1,160.000000,0.00284503
BG,opt_2,opt_4,2,18.000000,0.00032007
BG,opt_2,opt_5,2,14.000000,0.00024894
BG,opt_2,opt_6,2,14.000000,0.00024894
BG,opt_2,opt_7,2,22.000000,0.00039119
BG,opt_2,opt_8,2,12.000000,0.00021338
BG,opt_2,opt_9,1,160.000000,0.00284503
BG,opt_2,opt_10,3,8.000000,0.00014225
BG,opt_2,opt_11,2,22.000000,0.00039119
BG,opt_2,opt_12,1,176.000000,0.00312953
BG,opt_2,opt_13,2,18.000000,0.00032007
BG,opt_2,opt_14,1,192.000000,0.00341403
