demand_id,traffic_type,src_ip_node_id,dst_ip_node_id,demand_gbps
bg_0,BG,ip_12,ip_20,29
bg_1,BG,ip_22,ip_14,13
bg_2,BG,ip_15,ip_0,14
bg_3,BG,ip_17,ip_2,34
bg_4,BG,ip_19,ip_6,29
bg_5,BG,ip_27,ip_5,30
bg_6,BG,ip_4,ip_20,35
bg_7,BG,ip_25,ip_31,36
bg_8,BG,ip_26,ip_20,38
bg_9,BG,ip_26,ip_29,28
bg_10,BG,ip_23,ip_16,29
bg_11,BG,ip_2,ip_6,18
bg_12,BG,ip_4,ip_11,30
bg_13,BG,ip_3,ip_25,25
bg_14,BG,ip_22,ip_14,32
bg_15,BG,ip_19,ip_20,8
bg_16,BG,ip_9,ip_15,40
bg_17,BG,ip_8,ip_1,22
bg_18,BG,ip_1,ip_10,36
bg_19,BG,ip_4,ip_24,40
bg_20,BG,ip_24,ip_0,10
bg_21,BG,ip_17,ip_20,39
bg_22,BG,ip_31,ip_23,37
bg_23,BG,ip_16,ip_7,18
bg_24,BG,ip_0,ip_4,26
bg_25,BG,ip_12,ip_9,38
bg_26,BG,ip_4,ip_28,7
bg_27,BG,ip_1,ip_30,24
bg_28,BG,ip_31,ip_22,20
bg_29,BG,ip_4,ip_31,10
bg_30,BG,ip_15,ip_13,7
bg_31,BG,ip_2,ip_7,14
bg_32,BG,ip_2,ip_8,40
bg_33,BG,ip_7,ip_22,38
bg_34,BG,ip_10,ip_12,24
bg_35,BG,ip_14,ip_21,25
bg_36,BG,ip_3,ip_18,15
bg_37,BG,ip_14,ip_30,23
bg_38,BG,ip_6,ip_18,40
bg_39,BG,ip_26,ip_11,21
bg_40,BG,ip_22,ip_16,20
bg_41,BG,ip_0,ip_6,18
bg_42,BG,ip_1,ip_30,28
bg_43,BG,ip_10,ip_15,21
bg_44,BG,ip_25,ip_19,24
bg_45,BG,ip_14,ip_7,14
bg_46,BG,ip_2,ip_13,29
bg_47,BG,ip_13,ip_20,20
bg_48,BG,ip_15,ip_8,33
bg_49,BG,ip_3,ip_21,20
bg_50,BG,ip_30,ip_11,13
bg_51,BG,ip_9,ip_8,40
bg_52,BG,ip_10,ip_31,40
bg_53,BG,ip_6,ip_31,22
bg_54,BG,ip_26,ip_10,6
bg_55,BG,ip_26,ip_19,29
bg_56,BG,ip_29,ip_6,34
bg_57,BG,ip_14,ip_17,13
bg_58,BG,ip_19,ip_4,27
bg_59,BG,ip_25,ip_27,18
bg_60,BG,ip_7,ip_14,22
bg_61,BG,ip_18,ip_11,7
bg_62,BG,ip_16,ip_29,28
bg_63,BG,ip_5,ip_11,40
bg_64,BG,ip_21,ip_16,8
bg_65,BG,ip_31,ip_4,10
bg_66,BG,ip_7,ip_31,39
bg_67,BG,ip_7,ip_18,34
bg_68,BG,ip_5,ip_21,25
bg_69,BG,ip_20,ip_4,14
bg_70,BG,ip_9,ip_27,34
bg_71,BG,ip_25,ip_1,20
bg_72,BG,ip_14,ip_7,34
bg_73,BG,ip_21,ip_9,39
bg_74,BG,ip_25,ip_13,37
bg_75,BG,ip_8,ip_29,16
bg_76,BG,ip_5,ip_15,16
bg_77,BG,ip_18,ip_3,16
bg_78,BG,ip_24,ip_23,28
bg_79,BG,ip_1,ip_9,10
