ip_link_id,src_ip_node_id,dst_ip_node_id,selected_path_id,initial_lightpaths,num_lightpaths,added_lightpaths,capacity_gbps,usable_capacity_gbps,load_gbps,utilization_of_allowed_capacity
ip_link_0,ip_0,ip_8,ip_0_ip_8_p0,1,2,1,200,100.000,56.000,0.560
ip_link_1,ip_1,ip_12,ip_1_ip_12_p0,1,8,7,800,400.000,361.000,0.902
ip_link_10,ip_12,ip_23,ip_12_ip_23_p0,1,6,5,600,300.000,268.000,0.893
ip_link_11,ip_12,ip_29,ip_12_ip_29_p0,1,6,5,600,300.000,256.000,0.853
ip_link_12,ip_13,ip_16,ip_13_ip_16_p0,1,5,4,500,250.000,247.000,0.988
ip_link_13,ip_13,ip_23,ip_13_ip_23_p0,1,2,1,200,100.000,70.000,0.700
ip_link_14,ip_13,ip_24,ip_13_ip_24_p0,1,5,4,500,250.000,204.000,0.816
ip_link_15,ip_14,ip_22,ip_14_ip_22_p0,1,4,3,400,200.000,176.000,0.880
ip_link_16,ip_14,ip_4,ip_4_ip_14_p0,1,4,3,400,200.000,182.000,0.910
ip_link_17,ip_16,ip_23,ip_16_ip_23_p0,1,3,2,300,150.000,141.000,0.940
ip_link_18,ip_16,ip_24,ip_16_ip_24_p0,1,4,3,400,200.000,174.000,0.870
ip_link_19,ip_16,ip_4,ip_4_ip_16_p0,1,5,4,500,250.000,236.000,0.944
ip_link_2,ip_1,ip_15,ip_1_ip_15_p0,1,5,4,500,250.000,212.000,0.848
ip_link_20,ip_16,ip_8,ip_8_ip_16_p0,1,5,4,500,250.000,238.000,0.952
ip_link_21,ip_17,ip_22,ip_17_ip_22_p0,1,5,4,500,250.000,241.000,0.964
ip_link_22,ip_17,ip_23,ip_17_ip_23_p0,1,8,7,800,400.000,368.000,0.920
ip_link_23,ip_18,ip_22,ip_18_ip_22_p0,1,3,2,300,150.000,140.000,0.933
ip_link_24,ip_19,ip_20,ip_19_ip_20_p0,1,8,7,800,400.000,372.000,0.930
ip_link_25,ip_2,ip_27,ip_2_ip_27_p0,1,10,9,1000,500.000,464.000,0.928
ip_link_26,ip_20,ip_21,ip_20_ip_21_p0,1,10,9,1000,500.000,481.000,0.962
ip_link_27,ip_20,ip_8,ip_8_ip_20_p0,1,6,5,600,300.000,263.000,0.877
ip_link_28,ip_21,ip_4,ip_4_ip_21_p0,1,7,6,700,350.000,344.000,0.983
ip_link_29,ip_21,ip_8,ip_8_ip_21_p0,1,5,4,500,250.000,210.000,0.840
ip_link_3,ip_1,ip_25,ip_1_ip_25_p0,1,6,5,600,300.000,292.000,0.973
ip_link_30,ip_23,ip_24,ip_23_ip_24_p0,1,5,4,500,250.000,244.000,0.976
ip_link_31,ip_23,ip_25,ip_23_ip_25_p0,1,6,5,600,300.000,291.000,0.970
ip_link_32,ip_23,ip_3,ip_3_ip_23_p0,1,3,2,300,150.000,120.000,0.800
ip_link_33,ip_23,ip_4,ip_4_ip_23_p0,1,2,1,200,100.000,94.000,0.940
ip_link_34,ip_23,ip_8,ip_8_ip_23_p0,1,2,1,200,100.000,87.000,0.870
ip_link_35,ip_23,ip_9,ip_9_ip_23_p0,1,5,4,500,250.000,218.000,0.872
ip_link_36,ip_24,ip_4,ip_4_ip_24_p0,1,4,3,400,200.000,179.000,0.895
ip_link_37,ip_26,ip_28,ip_26_ip_28_p0,1,5,4,500,250.000,239.000,0.956
ip_link_38,ip_26,ip_8,ip_8_ip_26_p0,1,8,7,800,400.000,357.000,0.892
ip_link_39,ip_26,ip_9,ip_9_ip_26_p0,1,6,5,600,300.000,271.000,0.903
ip_link_4,ip_1,ip_28,ip_1_ip_28_p0,1,8,7,800,400.000,387.000,0.968
ip_link_40,ip_27,ip_6,ip_6_ip_27_p0,1,9,8,900,450.000,406.000,0.902
ip_link_41,ip_28,ip_9,ip_9_ip_28_p0,1,6,5,600,300.000,294.000,0.980
ip_link_42,ip_5,ip_6,ip_5_ip_6_p0,1,4,3,400,200.000,165.000,0.825
ip_link_43,ip_6,ip_7,ip_6_ip_7_p0,1,4,3,400,200.000,152.000,0.760
ip_link_44,ip_6,ip_8,ip_6_ip_8_p0,1,6,5,600,300.000,254.000,0.847
ip_link_5,ip_10,ip_29,ip_10_ip_29_p0,1,2,1,200,100.000,87.000,0.870
ip_link_6,ip_11,ip_19,ip_11_ip_19_p0,1,7,6,700,350.000,310.000,0.886
ip_link_7,ip_11,ip_2,ip_2_ip_11_p0,1,11,10,1100,550.000,521.000,0.947
ip_link_8,ip_11,ip_23,ip_11_ip_23_p0,1,5,4,500,250.000,246.000,0.984
ip_link_9,ip_11,ip_29,ip_11_ip_29_p0,1,4,3,400,200.000,184.000,0.920
