resource_type,resource_id,used_lightpaths,capacity_lightpaths,free_lightpaths,utilization
optical_fiber,of_0,0,100,100,0.000
optical_fiber,of_1,8,100,92,0.080
optical_fiber,of_10,27,100,73,0.270
optical_fiber,of_11,31,100,69,0.310
optical_fiber,of_12,4,100,96,0.040
optical_fiber,of_13,31,100,69,0.310
optical_fiber,of_14,11,100,89,0.110
optical_fiber,of_15,8,100,92,0.080
optical_fiber,of_16,27,100,73,0.270
optical_fiber,of_17,0,100,100,0.000
optical_fiber,of_18,0,100,100,0.000
optical_fiber,of_19,4,100,96,0.040
optical_fiber,of_2,23,100,77,0.230
optical_fiber,of_20,5,100,95,0.050
optical_fiber,of_21,26,100,74,0.260
optical_fiber,of_22,36,100,64,0.360
optical_fiber,of_23,8,100,92,0.080
optical_fiber,of_24,8,100,92,0.080
optical_fiber,of_25,0,100,100,0.000
optical_fiber,of_26,21,100,79,0.210
optical_fiber,of_27,9,100,91,0.090
optical_fiber,of_28,11,100,89,0.110
optical_fiber,of_29,29,100,71,0.290
optical_fiber,of_3,33,100,67,0.330
optical_fiber,of_30,4,100,96,0.040
optical_fiber,of_31,4,100,96,0.040
optical_fiber,of_4,27,100,73,0.270
optical_fiber,of_5,15,100,85,0.150
optical_fiber,of_6,15,100,85,0.150
optical_fiber,of_7,2,100,98,0.020
optical_fiber,of_8,5,100,95,0.050
optical_fiber,of_9,26,100,74,0.260
ip_transceiver,ip_0,2,100,98,0.020
ip_transceiver,ip_1,27,100,73,0.270
ip_transceiver,ip_10,2,100,98,0.020
ip_transceiver,ip_11,27,100,73,0.270
ip_transceiver,ip_12,20,100,80,0.200
ip_transceiver,ip_13,12,100,88,0.120
ip_transceiver,ip_14,8,100,92,0.080
ip_transceiver,ip_15,5,100,95,0.050
ip_transceiver,ip_16,22,100,78,0.220
ip_transceiver,ip_17,13,100,87,0.130
ip_transceiver,ip_18,3,100,97,0.030
ip_transceiver,ip_19,15,100,85,0.150
ip_transceiver,ip_2,21,100,79,0.210
ip_transceiver,ip_20,24,100,76,0.240
ip_transceiver,ip_21,22,100,78,0.220
ip_transceiver,ip_22,12,100,88,0.120
ip_transceiver,ip_23,47,100,53,0.470
ip_transceiver,ip_24,18,100,82,0.180
ip_transceiver,ip_25,12,100,88,0.120
ip_transceiver,ip_26,19,100,81,0.190
ip_transceiver,ip_27,19,100,81,0.190
ip_transceiver,ip_28,19,100,81,0.190
ip_transceiver,ip_29,12,100,88,0.120
ip_transceiver,ip_3,3,100,97,0.030
ip_transceiver,ip_4,22,100,78,0.220
ip_transceiver,ip_5,4,100,96,0.040
ip_transceiver,ip_6,23,100,77,0.230
ip_transceiver,ip_7,4,100,96,0.040
ip_transceiver,ip_8,34,100,66,0.340
ip_transceiver,ip_9,17,100,83,0.170
