demand_id,traffic_type,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,demand_gbps,ip_path,ip_link_path,ip_hops,opened_lightpaths,status,block_reason
bg_0,BG,,,,ip_12,ip_20,29.000,ip_12-ip_31-ip_20,ip_link_8-ip_link_28,2,0,routed,
bg_1,BG,,,,ip_22,ip_14,13.000,ip_22-ip_6-ip_8-ip_28-ip_4-ip_13-ip_16-ip_14,ip_link_30-ip_link_44-ip_link_40-ip_link_39-ip_link_12-ip_link_10-ip_link_13,7,0,routed,
bg_2,BG,,,,ip_15,ip_0,14.000,ip_15-ip_28-ip_4-ip_13-ip_16-ip_21-ip_26-ip_0,ip_link_16-ip_link_39-ip_link_12-ip_link_10-ip_link_19-ip_link_29-ip_link_0,7,0,routed,
bg_3,BG,,,,ip_17,ip_2,34.000,ip_17-ip_6-ip_15-ip_31-ip_20-ip_10-ip_25-ip_24-ip_2,ip_link_22-ip_link_18-ip_link_17-ip_link_28-ip_link_3-ip_link_4-ip_link_32-ip_link_25,8,1,routed,
bg_4,BG,,,,ip_19,ip_6,29.000,ip_19-ip_10-ip_20-ip_31-ip_15-ip_6,ip_link_2-ip_link_3-ip_link_28-ip_link_17-ip_link_18,5,3,routed,
bg_5,BG,,,,ip_27,ip_5,30.000,ip_27-ip_3-ip_26-ip_8-ip_5,ip_link_38-ip_link_36-ip_link_37-ip_link_43,4,0,routed,
bg_6,BG,,,,ip_4,ip_20,35.000,ip_4-ip_28-ip_15-ip_31-ip_20,ip_link_39-ip_link_16-ip_link_17-ip_link_28,4,2,routed,
bg_7,BG,,,,ip_25,ip_31,36.000,ip_25-ip_24-ip_20-ip_31,ip_link_32-ip_link_27-ip_link_28,3,2,routed,
bg_8,BG,,,,ip_26,ip_20,38.000,ip_26-ip_3-ip_27-ip_16-ip_13-ip_14-ip_19-ip_10-ip_20,ip_link_36-ip_link_38-ip_link_20-ip_link_10-ip_link_9-ip_link_14-ip_link_2-ip_link_3,8,5,routed,
bg_9,BG,,,,ip_26,ip_29,28.000,ip_26-ip_29,ip_link_35,1,0,routed,
bg_10,BG,,,,ip_23,ip_16,29.000,ip_23-ip_26-ip_3-ip_27-ip_16,ip_link_31-ip_link_36-ip_link_38-ip_link_20,4,1,routed,
bg_11,BG,,,,ip_2,ip_6,18.000,ip_2-ip_9-ip_4-ip_28-ip_8-ip_6,ip_link_26-ip_link_42-ip_link_39-ip_link_40-ip_link_44,5,0,routed,
bg_12,BG,,,,ip_4,ip_11,30.000,ip_4-ip_28-ip_8-ip_5-ip_11,ip_link_39-ip_link_40-ip_link_43-ip_link_5,4,3,routed,
bg_13,BG,,,,ip_3,ip_25,25.000,ip_3-ip_27-ip_16-ip_21-ip_26-ip_13-ip_14-ip_19-ip_7-ip_25,ip_link_38-ip_link_20-ip_link_19-ip_link_29-ip_link_11-ip_link_9-ip_link_14-ip_link_24-ip_link_34,9,3,routed,
bg_14,BG,,,,ip_22,ip_14,32.000,ip_22-ip_6-ip_15-ip_31-ip_20-ip_24-ip_2-ip_9-ip_4-ip_28-ip_8-ip_26-ip_21-ip_16-ip_14,ip_link_30-ip_link_18-ip_link_17-ip_link_28-ip_link_27-ip_link_25-ip_link_26-ip_link_42-ip_link_39-ip_link_40-ip_link_37-ip_link_29-ip_link_19-ip_link_13,14,6,routed,
bg_15,BG,,,,ip_19,ip_20,8.000,ip_19-ip_14-ip_13-ip_4-ip_16-ip_27-ip_3-ip_26-ip_8-ip_28-ip_15-ip_31-ip_20,ip_link_14-ip_link_9-ip_link_12-ip_link_21-ip_link_20-ip_link_38-ip_link_36-ip_link_37-ip_link_40-ip_link_16-ip_link_17-ip_link_28,12,4,routed,
bg_16,BG,,,,ip_9,ip_15,40.000,ip_9-ip_2-ip_24-ip_25-ip_12-ip_31-ip_20-ip_10-ip_19-ip_14-ip_13-ip_16-ip_4-ip_28-ip_15,ip_link_26-ip_link_25-ip_link_32-ip_link_6-ip_link_8-ip_link_28-ip_link_3-ip_link_2-ip_link_14-ip_link_9-ip_link_10-ip_link_21-ip_link_39-ip_link_16,14,9,routed,
bg_17,BG,,,,ip_8,ip_1,22.000,ip_8-ip_26-ip_21-ip_16-ip_4-ip_1,ip_link_37-ip_link_29-ip_link_19-ip_link_21-ip_link_1,5,1,routed,
bg_18,BG,,,,ip_1,ip_10,36.000,ip_1-ip_4-ip_9-ip_2-ip_24-ip_20-ip_31-ip_12-ip_25-ip_10,ip_link_1-ip_link_42-ip_link_26-ip_link_25-ip_link_27-ip_link_28-ip_link_8-ip_link_6-ip_link_4,9,8,routed,
bg_19,BG,,,,ip_4,ip_24,40.000,ip_4-ip_28-ip_15-ip_31-ip_20-ip_24,ip_link_39-ip_link_16-ip_link_17-ip_link_28-ip_link_27,5,4,routed,
bg_20,BG,,,,ip_24,ip_0,10.000,ip_24-ip_7-ip_25-ip_12-ip_26-ip_0,ip_link_33-ip_link_34-ip_link_6-ip_link_7-ip_link_0,5,0,routed,
bg_21,BG,,,,ip_17,ip_20,39.000,ip_17-ip_6-ip_8-ip_28-ip_15-ip_31-ip_12-ip_26-ip_21-ip_16-ip_4-ip_13-ip_14-ip_19-ip_10-ip_20,ip_link_22-ip_link_44-ip_link_40-ip_link_16-ip_link_17-ip_link_8-ip_link_7-ip_link_29-ip_link_19-ip_link_21-ip_link_12-ip_link_9-ip_link_14-ip_link_2-ip_link_3,15,9,routed,
bg_22,BG,,,,ip_31,ip_23,37.000,ip_31-ip_20-ip_10-ip_19-ip_14-ip_16-ip_27-ip_3-ip_26-ip_23,ip_link_28-ip_link_3-ip_link_2-ip_link_14-ip_link_13-ip_link_20-ip_link_38-ip_link_36-ip_link_31,9,8,routed,
bg_23,BG,,,,ip_16,ip_7,18.000,ip_16-ip_21-ip_26-ip_14-ip_19-ip_7,ip_link_19-ip_link_29-ip_link_15-ip_link_14-ip_link_24,5,1,routed,
bg_24,BG,,,,ip_0,ip_4,26.000,ip_0-ip_26-ip_14-ip_16-ip_13-ip_4,ip_link_0-ip_link_15-ip_link_13-ip_link_10-ip_link_12,5,1,routed,
bg_25,BG,,,,ip_12,ip_9,38.000,ip_12-ip_26-ip_21-ip_16-ip_4-ip_13-ip_14-ip_19-ip_10-ip_25-ip_24-ip_2-ip_9,ip_link_7-ip_link_29-ip_link_19-ip_link_21-ip_link_12-ip_link_9-ip_link_14-ip_link_2-ip_link_4-ip_link_32-ip_link_25-ip_link_26,12,9,routed,
bg_26,BG,,,,ip_4,ip_28,7.000,ip_4-ip_28,ip_link_39,1,0,routed,
bg_27,BG,,,,ip_1,ip_30,24.000,ip_1-ip_4-ip_9-ip_2-ip_24-ip_25-ip_7-ip_19-ip_10-ip_20-ip_31-ip_15-ip_28-ip_8-ip_30,ip_link_1-ip_link_42-ip_link_26-ip_link_25-ip_link_32-ip_link_34-ip_link_24-ip_link_2-ip_link_3-ip_link_28-ip_link_17-ip_link_16-ip_link_40-ip_link_41,14,6,routed,
bg_28,BG,,,,ip_31,ip_22,20.000,ip_31-ip_15-ip_6-ip_22,ip_link_17-ip_link_18-ip_link_30,3,3,routed,
