traffic_type,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,src_optical_node_id,dst_optical_node_id,shortest_hops,weight,probability
H,hg_0,cdn_0,user_0,ip_14,ip_19,opt_14,opt_19,2,48750.000000,0.00207648
H,hg_0,cdn_0,user_1,ip_14,ip_7,opt_14,opt_7,1,324000.000000,0.01380061
H,hg_0,cdn_0,user_2,ip_14,ip_1,opt_14,opt_1,2,42750.000000,0.00182091
H,hg_0,cdn_0,user_3,ip_14,ip_6,opt_14,opt_6,1,237000.000000,0.01009489
H,hg_0,cdn_0,user_4,ip_14,ip_2,opt_14,opt_2,1,64500.000000,0.00274734
H,hg_0,cdn_0,user_5,ip_14,ip_11,opt_14,opt_11,2,62625.000000,0.00266748
H,hg_0,cdn_0,user_6,ip_14,ip_19,opt_14,opt_19,2,50625.000000,0.00215635
H,hg_0,cdn_0,user_7,ip_14,ip_17,opt_14,opt_17,2,105375.000000,0.00448839
H,hg_0,cdn_0,user_8,ip_14,ip_6,opt_14,opt_6,1,64500.000000,0.00274734
H,hg_0,cdn_0,user_9,ip_14,ip_7,opt_14,opt_7,1,229500.000000,0.00977543
H,hg_0,cdn_0,user_10,ip_14,ip_13,opt_14,opt_13,1,402000.000000,0.01712298
H,hg_0,cdn_0,user_11,ip_14,ip_23,opt_14,opt_23,2,64875.000000,0.00276332
H,hg_0,cdn_0,user_12,ip_14,ip_1,opt_14,opt_1,2,14250.000000,0.00060697
H,hg_0,cdn_0,user_13,ip_14,ip_17,opt_14,opt_17,2,73875.000000,0.00314667
H,hg_0,cdn_0,user_14,ip_14,ip_31,opt_14,opt_31,2,29625.000000,0.00126186
H,hg_0,cdn_0,user_15,ip_14,ip_8,opt_14,opt_8,1,399000.000000,0.01699520
H,hg_0,cdn_0,user_16,ip_14,ip_29,opt_14,opt_29,2,72000.000000,0.00306680
H,hg_0,cdn_0,user_17,ip_14,ip_23,opt_14,opt_23,2,70875.000000,0.00301888
H,hg_0,cdn_0,user_18,ip_14,ip_31,opt_14,opt_31,2,90750.000000,0.00386545
H,hg_0,cdn_0,user_19,ip_14,ip_4,opt_14,opt_4,1,417000.000000,0.01776190
H,hg_0,cdn_0,user_20,ip_14,ip_27,opt_14,opt_27,2,57750.000000,0.00245983
H,hg_0,cdn_0,user_21,ip_14,ip_21,opt_14,opt_21,2,62250.000000,0.00265151
H,hg_0,cdn_0,user_22,ip_14,ip_13,opt_14,opt_13,1,91500.000000,0.00389740
H,hg_0,cdn_0,user_23,ip_14,ip_1,opt_14,opt_1,2,46500.000000,0.00198064
H,hg_0,cdn_0,user_24,ip_14,ip_6,opt_14,opt_6,1,75000.000000,0.00319459
H,hg_0,cdn_0,user_25,ip_14,ip_9,opt_14,opt_9,2,32250.000000,0.00137367
H,hg_0,cdn_0,user_26,ip_14,ip_4,opt_14,opt_4,1,309000.000000,0.01316170
H,hg_0,cdn_0,user_27,ip_14,ip_23,opt_14,opt_23,2,81000.000000,0.00345015
H,hg_0,cdn_0,user_28,ip_14,ip_18,opt_14,opt_18,1,136500.000000,0.00581415
H,hg_0,cdn_0,user_29,ip_14,ip_29,opt_14,opt_29,2,110250.000000,0.00469604
H,hg_0,cdn_1,user_0,ip_4,ip_19,opt_4,opt_19,3,21666.666667,0.00092288
H,hg_0,cdn_1,user_1,ip_4,ip_7,opt_4,opt_7,2,81000.000000,0.00345015
H,hg_0,cdn_1,user_2,ip_4,ip_1,opt_4,opt_1,3,19000.000000,0.00080930
H,hg_0,cdn_1,user_3,ip_4,ip_6,opt_4,opt_6,2,59250.000000,0.00252372
H,hg_0,cdn_1,user_4,ip_4,ip_2,opt_4,opt_2,2,16125.000000,0.00068684
H,hg_0,cdn_1,user_5,ip_4,ip_11,opt_4,opt_11,2,62625.000000,0.00266748
H,hg_0,cdn_1,user_6,ip_4,ip_19,opt_4,opt_19,3,22500.000000,0.00095838
H,hg_0,cdn_1,user_7,ip_4,ip_17,opt_4,opt_17,3,46833.333333,0.00199484
H,hg_0,cdn_1,user_8,ip_4,ip_6,opt_4,opt_6,2,16125.000000,0.00068684
H,hg_0,cdn_1,user_9,ip_4,ip_7,opt_4,opt_7,2,57375.000000,0.00244386
H,hg_0,cdn_1,user_10,ip_4,ip_13,opt_4,opt_13,1,402000.000000,0.01712298
H,hg_0,cdn_1,user_11,ip_4,ip_23,opt_4,opt_23,1,259500.000000,0.01105327
H,hg_0,cdn_1,user_12,ip_4,ip_1,opt_4,opt_1,3,6333.333333,0.00026977
H,hg_0,cdn_1,user_13,ip_4,ip_17,opt_4,opt_17,3,32833.333333,0.00139852
H,hg_0,cdn_1,user_14,ip_4,ip_31,opt_4,opt_31,2,29625.000000,0.00126186
H,hg_0,cdn_1,user_15,ip_4,ip_8,opt_4,opt_8,2,99750.000000,0.00424880
