demand_id,traffic_type,hypergiant_id,cdn_node_id,src_ip_node_id,end_user_node_id,dst_ip_node_id,demand_gbps
h_0,H,hg_0,cdn_1,ip_4,user_23,ip_1,21
h_1,H,hg_1,cdn_3,ip_29,user_18,ip_31,5
h_2,H,hg_2,cdn_5,ip_4,user_18,ip_31,21
h_3,H,hg_3,cdn_6,ip_13,user_24,ip_6,14
h_4,H,hg_4,cdn_8,ip_11,user_23,ip_1,21
h_5,H,hg_0,cdn_1,ip_4,user_1,ip_7,5
h_6,H,hg_1,cdn_2,ip_28,user_11,ip_23,20
h_7,H,hg_2,cdn_5,ip_4,user_17,ip_23,12
h_8,H,hg_3,cdn_7,ip_28,user_3,ip_6,14
h_9,H,hg_4,cdn_9,ip_1,user_21,ip_21,19
h_10,H,hg_0,cdn_0,ip_14,user_26,ip_4,16
h_11,H,hg_1,cdn_2,ip_28,user_2,ip_1,18
h_12,H,hg_2,cdn_5,ip_4,user_8,ip_6,17
h_13,H,hg_3,cdn_6,ip_13,user_22,ip_13,9
h_14,H,hg_4,cdn_8,ip_11,user_26,ip_4,27
h_15,H,hg_0,cdn_0,ip_14,user_19,ip_4,9
h_16,H,hg_1,cdn_2,ip_28,user_10,ip_13,24
h_17,H,hg_2,cdn_4,ip_14,user_24,ip_6,14
h_18,H,hg_3,cdn_7,ip_28,user_3,ip_6,26
h_19,H,hg_4,cdn_9,ip_1,user_0,ip_19,10
h_20,H,hg_0,cdn_0,ip_14,user_23,ip_1,11
h_21,H,hg_1,cdn_2,ip_28,user_9,ip_7,19
h_22,H,hg_2,cdn_4,ip_14,user_25,ip_9,30
h_23,H,hg_3,cdn_7,ip_28,user_5,ip_11,17
h_24,H,hg_4,cdn_9,ip_1,user_14,ip_31,26
h_25,H,hg_0,cdn_0,ip_14,user_22,ip_13,10
h_26,H,hg_1,cdn_3,ip_29,user_16,ip_29,8
h_27,H,hg_2,cdn_5,ip_4,user_5,ip_11,18
h_28,H,hg_3,cdn_6,ip_13,user_19,ip_4,9
h_29,H,hg_4,cdn_8,ip_11,user_10,ip_13,26
h_30,H,hg_0,cdn_0,ip_14,user_28,ip_18,8
h_31,H,hg_1,cdn_2,ip_28,user_8,ip_6,22
h_32,H,hg_2,cdn_5,ip_4,user_2,ip_1,19
h_33,H,hg_3,cdn_6,ip_13,user_12,ip_1,27
h_34,H,hg_4,cdn_9,ip_1,user_0,ip_19,9
h_35,H,hg_0,cdn_0,ip_14,user_21,ip_21,24
h_36,H,hg_1,cdn_3,ip_29,user_20,ip_27,18
h_37,H,hg_2,cdn_5,ip_4,user_6,ip_19,21
h_38,H,hg_3,cdn_6,ip_13,user_20,ip_27,22
h_39,H,hg_4,cdn_8,ip_11,user_11,ip_23,18
h_40,H,hg_0,cdn_1,ip_4,user_14,ip_31,20
h_41,H,hg_1,cdn_3,ip_29,user_18,ip_31,26
h_42,H,hg_2,cdn_5,ip_4,user_28,ip_18,25
h_43,H,hg_3,cdn_7,ip_28,user_19,ip_4,22
h_44,H,hg_4,cdn_9,ip_1,user_0,ip_19,20
h_45,H,hg_0,cdn_1,ip_4,user_20,ip_27,17
h_46,H,hg_1,cdn_2,ip_28,user_27,ip_23,21
h_47,H,hg_2,cdn_4,ip_14,user_0,ip_19,17
h_48,H,hg_3,cdn_6,ip_13,user_19,ip_4,5
h_49,H,hg_4,cdn_9,ip_1,user_10,ip_13,6
h_50,H,hg_0,cdn_1,ip_4,user_13,ip_17,21
h_51,H,hg_1,cdn_2,ip_28,user_26,ip_4,30
h_52,H,hg_2,cdn_4,ip_14,user_5,ip_11,29
h_53,H,hg_3,cdn_6,ip_13,user_21,ip_21,23
h_54,H,hg_4,cdn_9,ip_1,user_2,ip_1,21
h_55,H,hg_0,cdn_1,ip_4,user_25,ip_9,29
h_56,H,hg_1,cdn_3,ip_29,user_25,ip_9,14
h_57,H,hg_2,cdn_4,ip_14,user_14,ip_31,27
h_58,H,hg_3,cdn_7,ip_28,user_28,ip_18,30
h_59,H,hg_4,cdn_8,ip_11,user_8,ip_6,5
h_60,H,hg_0,cdn_1,ip_4,user_22,ip_13,10
h_61,H,hg_1,cdn_2,ip_28,user_14,ip_31,17
h_62,H,hg_2,cdn_4,ip_14,user_26,ip_4,6
h_63,H,hg_3,cdn_6,ip_13,user_6,ip_19,26
h_64,H,hg_4,cdn_8,ip_11,user_10,ip_13,26
h_65,H,hg_0,cdn_0,ip_14,user_2,ip_1,17
h_66,H,hg_1,cdn_3,ip_29,user_9,ip_7,23
h_67,H,hg_2,cdn_4,ip_14,user_18,ip_31,6
h_68,H,hg_3,cdn_6,ip_13,user_16,ip_29,7
h_69,H,hg_4,cdn_9,ip_1,user_27,ip_23,8
h_70,H,hg_0,cdn_0,ip_14,user_9,ip_7,12
h_71,H,hg_1,cdn_2,ip_28,user_28,ip_18,21
h_72,H,hg_2,cdn_4,ip_14,user_13,ip_17,21
h_73,H,hg_3,cdn_6,ip_13,user_22,ip_13,28
h_74,H,hg_4,cdn_8,ip_11,user_6,ip_19,24
h_75,H,hg_0,cdn_1,ip_4,user_15,ip_8,11
h_76,H,hg_1,cdn_3,ip_29,user_9,ip_7,12
h_77,H,hg_2,cdn_4,ip_14,user_24,ip_6,16
h_78,H,hg_3,cdn_7,ip_28,user_13,ip_17,20
h_79,H,hg_4,cdn_9,ip_1,user_21,ip_21,29
h_80,H,hg_0,cdn_1,ip_4,user_9,ip_7,13
h_81,H,hg_1,cdn_3,ip_29,user_6,ip_19,30
h_82,H,hg_2,cdn_4,ip_14,user_0,ip_19,27
h_83,H,hg_3,cdn_6,ip_13,user_4,ip_2,17
h_84,H,hg_4,cdn_8,ip_11,user_29,ip_29,20
h_85,H,hg_0,cdn_0,ip_14,user_24,ip_6,17
h_86,H,hg_1,cdn_2,ip_28,user_3,ip_6,27
h_87,H,hg_2,cdn_4,ip_14,user_11,ip_23,19
h_88,H,hg_3,cdn_7,ip_28,user_28,ip_18,12
h_89,H,hg_4,cdn_9,ip_1,user_11,ip_23,10
h_90,H,hg_0,cdn_0,ip_14,user_21,ip_21,22
h_91,H,hg_1,cdn_2,ip_28,user_12,ip_1,5
h_92,H,hg_2,cdn_5,ip_4,user_18,ip_31,26
h_93,H,hg_3,cdn_7,ip_28,user_26,ip_4,18
h_94,H,hg_4,cdn_9,ip_1,user_9,ip_7,23
h_95,H,hg_0,cdn_0,ip_14,user_18,ip_31,25
h_96,H,hg_1,cdn_2,ip_28,user_7,ip_17,27
h_97,H,hg_2,cdn_4,ip_14,user_23,ip_1,29
h_98,H,hg_3,cdn_6,ip_13,user_8,ip_6,17
h_99,H,hg_4,cdn_9,ip_1,user_12,ip_1,17
h_100,H,hg_0,cdn_0,ip_14,user_12,ip_1,30
h_101,H,hg_1,cdn_2,ip_28,user_0,ip_19,28
h_102,H,hg_2,cdn_5,ip_4,user_21,ip_21,11
h_103,H,hg_3,cdn_7,ip_28,user_20,ip_27,5
h_104,H,hg_4,cdn_8,ip_11,user_10,ip_13,16
h_105,H,hg_0,cdn_1,ip_4,user_23,ip_1,11
h_106,H,hg_1,cdn_2,ip_28,user_26,ip_4,28
