ip_link_id,src_ip_node_id,dst_ip_node_id,selected_path_id,initial_lightpaths,num_lightpaths,added_lightpaths,capacity_gbps,usable_capacity_gbps,load_gbps,utilization_of_allowed_capacity
ip_link_0,ip_0,ip_8,ip_0_ip_8_p0,1,1,0,100,50.000,0.000,0.000
ip_link_1,ip_1,ip_12,ip_1_ip_12_p0,1,10,9,1000,500.000,493.000,0.986
ip_link_10,ip_12,ip_23,ip_12_ip_23_p0,1,9,8,900,450.000,440.000,0.978
ip_link_11,ip_12,ip_29,ip_12_ip_29_p0,1,12,11,1200,600.000,563.000,0.938
ip_link_12,ip_13,ip_16,ip_13_ip_16_p0,1,16,15,1600,800.000,752.000,0.940
ip_link_13,ip_13,ip_23,ip_13_ip_23_p0,1,12,11,1200,600.000,588.000,0.980
ip_link_14,ip_13,ip_24,ip_13_ip_24_p0,1,13,12,1300,650.000,616.000,0.948
ip_link_15,ip_14,ip_22,ip_14_ip_22_p0,1,18,17,1800,900.000,863.000,0.959
ip_link_16,ip_14,ip_4,ip_4_ip_14_p0,1,21,20,2100,1050.000,1037.000,0.988
ip_link_17,ip_16,ip_23,ip_16_ip_23_p0,1,6,5,600,300.000,297.000,0.990
ip_link_18,ip_16,ip_24,ip_16_ip_24_p0,1,9,8,900,450.000,414.000,0.920
ip_link_19,ip_16,ip_4,ip_4_ip_16_p0,1,14,13,1400,700.000,695.000,0.993
ip_link_2,ip_1,ip_15,ip_1_ip_15_p0,1,1,0,100,50.000,0.000,0.000
ip_link_20,ip_16,ip_8,ip_8_ip_16_p0,1,12,11,1200,600.000,586.000,0.977
ip_link_21,ip_17,ip_22,ip_17_ip_22_p0,1,15,14,1500,750.000,745.000,0.993
ip_link_22,ip_17,ip_23,ip_17_ip_23_p0,1,15,14,1500,750.000,745.000,0.993
ip_link_23,ip_18,ip_22,ip_18_ip_22_p0,1,5,4,500,250.000,248.000,0.992
ip_link_24,ip_19,ip_20,ip_19_ip_20_p0,1,19,18,1900,950.000,938.000,0.987
ip_link_25,ip_2,ip_27,ip_2_ip_27_p0,1,14,13,1400,700.000,655.000,0.936
ip_link_26,ip_20,ip_21,ip_20_ip_21_p0,1,17,16,1700,850.000,839.000,0.987
ip_link_27,ip_20,ip_8,ip_8_ip_20_p0,1,10,9,1000,500.000,497.000,0.994
ip_link_28,ip_21,ip_4,ip_4_ip_21_p0,1,16,15,1600,800.000,752.000,0.940
ip_link_29,ip_21,ip_8,ip_8_ip_21_p0,1,9,8,900,450.000,417.000,0.927
ip_link_3,ip_1,ip_25,ip_1_ip_25_p0,1,9,8,900,450.000,421.000,0.936
ip_link_30,ip_23,ip_24,ip_23_ip_24_p0,1,11,10,1100,550.000,547.000,0.995
ip_link_31,ip_23,ip_25,ip_23_ip_25_p0,1,9,8,900,450.000,421.000,0.936
ip_link_32,ip_23,ip_3,ip_3_ip_23_p0,1,1,0,100,50.000,0.000,0.000
ip_link_33,ip_23,ip_4,ip_4_ip_23_p0,1,7,6,700,350.000,347.000,0.991
ip_link_34,ip_23,ip_8,ip_8_ip_23_p0,1,9,8,900,450.000,446.000,0.991
ip_link_35,ip_23,ip_9,ip_9_ip_23_p0,1,11,10,1100,550.000,549.000,0.998
ip_link_36,ip_24,ip_4,ip_4_ip_24_p0,1,15,14,1500,750.000,711.000,0.948
ip_link_37,ip_26,ip_28,ip_26_ip_28_p0,1,12,11,1200,600.000,554.000,0.923
ip_link_38,ip_26,ip_8,ip_8_ip_26_p0,1,18,17,1800,900.000,871.000,0.968
ip_link_39,ip_26,ip_9,ip_9_ip_26_p0,1,10,9,1000,500.000,451.000,0.902
ip_link_4,ip_1,ip_28,ip_1_ip_28_p0,1,13,12,1300,650.000,618.000,0.951
ip_link_40,ip_27,ip_6,ip_6_ip_27_p0,1,14,13,1400,700.000,682.000,0.974
ip_link_41,ip_28,ip_9,ip_9_ip_28_p0,1,12,11,1200,600.000,570.000,0.950
ip_link_42,ip_5,ip_6,ip_5_ip_6_p0,1,1,0,100,50.000,0.000,0.000
ip_link_43,ip_6,ip_7,ip_6_ip_7_p0,1,9,8,900,450.000,401.000,0.891
ip_link_44,ip_6,ip_8,ip_6_ip_8_p0,1,15,14,1500,750.000,707.000,0.943
ip_link_5,ip_10,ip_29,ip_10_ip_29_p0,1,1,0,100,50.000,0.000,0.000
ip_link_6,ip_11,ip_19,ip_11_ip_19_p0,1,16,15,1600,800.000,774.000,0.968
ip_link_7,ip_11,ip_2,ip_2_ip_11_p0,1,15,14,1500,750.000,728.000,0.971
ip_link_8,ip_11,ip_23,ip_11_ip_23_p0,1,10,9,1000,500.000,499.000,0.998
ip_link_9,ip_11,ip_29,ip_11_ip_29_p0,1,11,10,1100,550.000,516.000,0.938
