resource_type,resource_id,used_lightpaths,capacity_lightpaths,free_lightpaths,utilization
optical_fiber,of_0,0,100,100,0.000
optical_fiber,of_1,18,100,82,0.180
optical_fiber,of_10,38,100,62,0.380
optical_fiber,of_11,49,100,51,0.490
optical_fiber,of_12,18,100,82,0.180
optical_fiber,of_13,76,100,24,0.760
optical_fiber,of_14,23,100,77,0.230
optical_fiber,of_15,10,100,90,0.100
optical_fiber,of_16,48,100,52,0.480
optical_fiber,of_17,0,100,100,0.000
optical_fiber,of_18,0,100,100,0.000
optical_fiber,of_19,21,100,79,0.210
optical_fiber,of_2,53,100,47,0.530
optical_fiber,of_20,1,100,99,0.010
optical_fiber,of_21,34,100,66,0.340
optical_fiber,of_22,73,100,27,0.730
optical_fiber,of_23,19,100,81,0.190
optical_fiber,of_24,19,100,81,0.190
optical_fiber,of_25,0,100,100,0.000
optical_fiber,of_26,24,100,76,0.240
optical_fiber,of_27,17,100,83,0.170
optical_fiber,of_28,20,100,80,0.200
optical_fiber,of_29,40,100,60,0.400
optical_fiber,of_3,72,100,28,0.720
optical_fiber,of_30,1,100,99,0.010
optical_fiber,of_31,9,100,91,0.090
optical_fiber,of_4,33,100,67,0.330
optical_fiber,of_5,38,100,62,0.380
optical_fiber,of_6,38,100,62,0.380
optical_fiber,of_7,1,100,99,0.010
optical_fiber,of_8,10,100,90,0.100
optical_fiber,of_9,44,100,56,0.440
ip_transceiver,ip_0,1,100,99,0.010
ip_transceiver,ip_1,33,100,67,0.330
ip_transceiver,ip_10,1,100,99,0.010
ip_transceiver,ip_11,52,100,48,0.520
ip_transceiver,ip_12,31,100,69,0.310
ip_transceiver,ip_13,41,100,59,0.410
ip_transceiver,ip_14,39,100,61,0.390
ip_transceiver,ip_15,1,100,99,0.010
ip_transceiver,ip_16,57,100,43,0.570
ip_transceiver,ip_17,30,100,70,0.300
ip_transceiver,ip_18,5,100,95,0.050
ip_transceiver,ip_19,35,100,65,0.350
ip_transceiver,ip_2,29,100,71,0.290
ip_transceiver,ip_20,46,100,54,0.460
ip_transceiver,ip_21,42,100,58,0.420
ip_transceiver,ip_22,38,100,62,0.380
ip_transceiver,ip_23,100,100,0,1.000
ip_transceiver,ip_24,48,100,52,0.480
ip_transceiver,ip_25,18,100,82,0.180
ip_transceiver,ip_26,40,100,60,0.400
ip_transceiver,ip_27,28,100,72,0.280
ip_transceiver,ip_28,37,100,63,0.370
ip_transceiver,ip_29,24,100,76,0.240
ip_transceiver,ip_3,1,100,99,0.010
ip_transceiver,ip_4,73,100,27,0.730
ip_transceiver,ip_5,1,100,99,0.010
ip_transceiver,ip_6,39,100,61,0.390
ip_transceiver,ip_7,9,100,91,0.090
ip_transceiver,ip_8,74,100,26,0.740
ip_transceiver,ip_9,33,100,67,0.330
