demand_id,traffic_type,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,demand_gbps,ip_path,ip_link_path,ip_hops,opened_lightpaths,status,block_reason
h_0,H,hg_0,cdn_1,user_23,ip_4,ip_1,21.000,ip_4-ip_1,ip_link_1,1,1,routed,
h_1,H,hg_1,cdn_3,user_18,ip_29,ip_31,5.000,ip_29-ip_26-ip_12-ip_25-ip_7-ip_24-ip_2-ip_9-ip_4-ip_28-ip_8-ip_6-ip_15-ip_31,ip_link_35-ip_link_7-ip_link_6-ip_link_34-ip_link_33-ip_link_25-ip_link_26-ip_link_42-ip_link_39-ip_link_40-ip_link_44-ip_link_18-ip_link_17,13,2,routed,
h_2,H,hg_2,cdn_5,user_18,ip_4,ip_31,21.000,ip_4-ip_28-ip_15-ip_31,ip_link_39-ip_link_16-ip_link_17,3,1,routed,
h_3,H,hg_3,cdn_6,user_24,ip_13,ip_6,14.000,ip_13-ip_4-ip_28-ip_15-ip_6,ip_link_12-ip_link_39-ip_link_16-ip_link_18,4,2,routed,
h_4,H,hg_4,cdn_8,user_23,ip_11,ip_1,21.000,ip_11-ip_5-ip_8-ip_26-ip_12-ip_31-ip_20-ip_24-ip_25-ip_7-ip_19-ip_14-ip_13-ip_4-ip_1,ip_link_5-ip_link_43-ip_link_37-ip_link_7-ip_link_8-ip_link_28-ip_link_27-ip_link_32-ip_link_34-ip_link_24-ip_link_14-ip_link_9-ip_link_12-ip_link_1,14,5,routed,
h_5,H,hg_0,cdn_1,user_1,ip_4,ip_7,5.000,ip_4-ip_16-ip_14-ip_19-ip_7,ip_link_21-ip_link_13-ip_link_14-ip_link_24,4,0,routed,
h_6,H,hg_1,cdn_2,user_11,ip_28,ip_23,20.000,ip_28-ip_4-ip_16-ip_13-ip_14-ip_26-ip_23,ip_link_39-ip_link_21-ip_link_10-ip_link_9-ip_link_15-ip_link_31,6,2,routed,
h_7,H,hg_2,cdn_5,user_17,ip_4,ip_23,12.000,ip_4-ip_9-ip_2-ip_24-ip_20-ip_10-ip_19-ip_14-ip_26-ip_23,ip_link_42-ip_link_26-ip_link_25-ip_link_27-ip_link_3-ip_link_2-ip_link_14-ip_link_15-ip_link_31,9,2,routed,
h_8,H,hg_3,cdn_7,user_3,ip_28,ip_6,14.000,ip_28-ip_8-ip_26-ip_12-ip_31-ip_15-ip_6,ip_link_40-ip_link_37-ip_link_7-ip_link_8-ip_link_17-ip_link_18,6,3,routed,
h_9,H,hg_4,cdn_9,user_21,ip_1,ip_21,19.000,ip_1-ip_4-ip_16-ip_21,ip_link_1-ip_link_21-ip_link_19,3,3,routed,
