ip_link_id,src_ip_node_id,dst_ip_node_id,selected_path_id,initial_lightpaths,num_lightpaths,added_lightpaths,capacity_gbps,usable_capacity_gbps,load_gbps,utilization_of_allowed_capacity
ip_link_0,ip_0,ip_26,ip_0_ip_26_p0,1,2,1,200,100.000,68.000,0.680
ip_link_1,ip_1,ip_4,ip_1_ip_4_p0,1,14,13,1400,700.000,695.000,0.993
ip_link_10,ip_13,ip_16,ip_13_ip_16_p0,1,13,12,1300,650.000,626.000,0.963
ip_link_11,ip_13,ip_26,ip_13_ip_26_p0,1,14,13,1400,700.000,695.000,0.993
ip_link_12,ip_13,ip_4,ip_4_ip_13_p0,1,21,20,2100,1050.000,1048.000,0.998
ip_link_13,ip_14,ip_16,ip_14_ip_16_p0,1,17,16,1700,850.000,803.000,0.945
ip_link_14,ip_14,ip_19,ip_14_ip_19_p0,1,29,28,2900,1450.000,1419.000,0.979
ip_link_15,ip_14,ip_26,ip_14_ip_26_p0,1,13,12,1300,650.000,644.000,0.991
ip_link_16,ip_15,ip_28,ip_15_ip_28_p0,1,27,26,2700,1350.000,1321.000,0.979
ip_link_17,ip_15,ip_31,ip_15_ip_31_p0,1,35,34,3500,1750.000,1711.000,0.978
ip_link_18,ip_15,ip_6,ip_6_ip_15_p0,1,24,23,2400,1200.000,1179.000,0.983
ip_link_19,ip_16,ip_21,ip_16_ip_21_p0,1,15,14,1500,750.000,707.000,0.943
ip_link_2,ip_10,ip_19,ip_10_ip_19_p0,1,21,20,2100,1050.000,1036.000,0.987
ip_link_20,ip_16,ip_27,ip_16_ip_27_p0,1,13,12,1300,650.000,649.000,0.998
ip_link_21,ip_16,ip_4,ip_4_ip_16_p0,1,17,16,1700,850.000,850.000,1.000
ip_link_22,ip_17,ip_6,ip_6_ip_17_p0,1,8,7,800,400.000,372.000,0.930
ip_link_23,ip_18,ip_24,ip_18_ip_24_p0,1,7,6,700,350.000,330.000,0.943
ip_link_24,ip_19,ip_7,ip_7_ip_19_p0,1,19,18,1900,950.000,942.000,0.992
ip_link_25,ip_2,ip_24,ip_2_ip_24_p0,1,22,21,2200,1100.000,1076.000,0.978
ip_link_26,ip_2,ip_9,ip_2_ip_9_p0,1,24,23,2400,1200.000,1154.000,0.962
ip_link_27,ip_20,ip_24,ip_20_ip_24_p0,1,17,16,1700,850.000,806.000,0.948
ip_link_28,ip_20,ip_31,ip_20_ip_31_p0,1,25,24,2500,1250.000,1224.000,0.979
ip_link_29,ip_21,ip_26,ip_21_ip_26_p0,1,13,12,1300,650.000,639.000,0.983
ip_link_3,ip_10,ip_20,ip_10_ip_20_p0,1,22,21,2200,1100.000,1083.000,0.985
ip_link_30,ip_22,ip_6,ip_6_ip_22_p0,1,3,2,300,150.000,123.000,0.820
ip_link_31,ip_23,ip_26,ip_23_ip_26_p0,1,9,8,900,450.000,440.000,0.978
ip_link_32,ip_24,ip_25,ip_24_ip_25_p0,1,16,15,1600,800.000,793.000,0.991
ip_link_33,ip_24,ip_7,ip_7_ip_24_p0,1,15,14,1500,750.000,729.000,0.972
ip_link_34,ip_25,ip_7,ip_7_ip_25_p0,1,15,14,1500,750.000,722.000,0.963
ip_link_35,ip_26,ip_29,ip_26_ip_29_p0,1,10,9,1000,500.000,496.000,0.992
ip_link_36,ip_26,ip_3,ip_3_ip_26_p0,1,11,10,1100,550.000,531.000,0.965
ip_link_37,ip_26,ip_8,ip_8_ip_26_p0,1,14,13,1400,700.000,695.000,0.993
ip_link_38,ip_27,ip_3,ip_3_ip_27_p0,1,13,12,1300,650.000,607.000,0.934
ip_link_39,ip_28,ip_4,ip_4_ip_28_p0,1,26,25,2600,1300.000,1300.000,1.000
ip_link_4,ip_10,ip_25,ip_10_ip_25_p0,1,13,12,1300,650.000,620.000,0.954
ip_link_40,ip_28,ip_8,ip_8_ip_28_p0,1,18,17,1800,900.000,889.000,0.988
ip_link_41,ip_30,ip_8,ip_8_ip_30_p0,1,2,1,200,100.000,88.000,0.880
ip_link_42,ip_4,ip_9,ip_4_ip_9_p0,1,22,21,2200,1100.000,1100.000,1.000
ip_link_43,ip_5,ip_8,ip_5_ip_8_p0,1,13,12,1300,650.000,638.000,0.982
ip_link_44,ip_6,ip_8,ip_6_ip_8_p0,1,12,11,1200,600.000,588.000,0.980
ip_link_5,ip_11,ip_5,ip_5_ip_11_p0,1,13,12,1300,650.000,607.000,0.934
ip_link_6,ip_12,ip_25,ip_12_ip_25_p0,1,17,16,1700,850.000,803.000,0.945
ip_link_7,ip_12,ip_26,ip_12_ip_26_p0,1,14,13,1400,700.000,696.000,0.994
ip_link_8,ip_12,ip_31,ip_12_ip_31_p0,1,19,18,1900,950.000,916.000,0.964
ip_link_9,ip_13,ip_14,ip_13_ip_14_p0,1,21,20,2100,1050.000,1029.000,0.980
