resource_type,resource_id,used_lightpaths,capacity_lightpaths,free_lightpaths,utilization
optical_fiber,of_0,0,100,100,0.000
optical_fiber,of_1,2,100,98,0.020
optical_fiber,of_10,0,100,100,0.000
optical_fiber,of_100,0,100,100,0.000
optical_fiber,of_101,22,100,78,0.220
optical_fiber,of_102,0,100,100,0.000
optical_fiber,of_103,0,100,100,0.000
optical_fiber,of_104,0,100,100,0.000
optical_fiber,of_105,15,100,85,0.150
optical_fiber,of_106,17,100,83,0.170
optical_fiber,of_107,40,100,60,0.400
optical_fiber,of_108,52,100,48,0.520
optical_fiber,of_109,13,100,87,0.130
optical_fiber,of_11,0,100,100,0.000
optical_fiber,of_110,62,100,38,0.620
optical_fiber,of_111,0,100,100,0.000
optical_fiber,of_112,65,100,35,0.650
optical_fiber,of_113,13,100,87,0.130
optical_fiber,of_114,18,100,82,0.180
optical_fiber,of_115,8,100,92,0.080
optical_fiber,of_116,44,100,56,0.440
optical_fiber,of_117,0,100,100,0.000
optical_fiber,of_118,22,100,78,0.220
optical_fiber,of_119,0,100,100,0.000
optical_fiber,of_12,0,100,100,0.000
optical_fiber,of_120,63,100,37,0.630
optical_fiber,of_121,0,100,100,0.000
optical_fiber,of_122,3,100,97,0.030
optical_fiber,of_123,13,100,87,0.130
optical_fiber,of_124,26,100,74,0.260
optical_fiber,of_13,21,100,79,0.210
optical_fiber,of_14,22,100,78,0.220
optical_fiber,of_15,0,100,100,0.000
optical_fiber,of_16,13,100,87,0.130
optical_fiber,of_17,0,100,100,0.000
optical_fiber,of_18,0,100,100,0.000
optical_fiber,of_19,0,100,100,0.000
optical_fiber,of_2,0,100,100,0.000
optical_fiber,of_20,25,100,75,0.250
optical_fiber,of_21,0,100,100,0.000
optical_fiber,of_22,0,100,100,0.000
optical_fiber,of_23,78,100,22,0.780
optical_fiber,of_24,66,100,34,0.660
optical_fiber,of_25,0,100,100,0.000
optical_fiber,of_26,0,100,100,0.000
optical_fiber,of_27,0,100,100,0.000
optical_fiber,of_28,0,100,100,0.000
optical_fiber,of_29,0,100,100,0.000
optical_fiber,of_3,0,100,100,0.000
optical_fiber,of_30,0,100,100,0.000
optical_fiber,of_31,0,100,100,0.000
optical_fiber,of_32,0,100,100,0.000
optical_fiber,of_33,9,100,91,0.090
optical_fiber,of_34,47,100,53,0.470
optical_fiber,of_35,43,100,57,0.430
optical_fiber,of_36,17,100,83,0.170
optical_fiber,of_37,21,100,79,0.210
optical_fiber,of_38,13,100,87,0.130
optical_fiber,of_39,0,100,100,0.000
optical_fiber,of_4,0,100,100,0.000
optical_fiber,of_40,14,100,86,0.140
optical_fiber,of_41,0,100,100,0.000
optical_fiber,of_42,21,100,79,0.210
optical_fiber,of_43,17,100,83,0.170
optical_fiber,of_44,7,100,93,0.070
optical_fiber,of_45,0,100,100,0.000
optical_fiber,of_46,44,100,56,0.440
optical_fiber,of_47,0,100,100,0.000
optical_fiber,of_48,0,100,100,0.000
optical_fiber,of_49,0,100,100,0.000
optical_fiber,of_5,0,100,100,0.000
optical_fiber,of_50,38,100,62,0.380
optical_fiber,of_51,31,100,69,0.310
