request_id,traffic_type,arrival_time,duration,end_time,bandwidth_gbps,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,src_optical_node_id,dst_optical_node_id,shortest_hops
h_dyn_0,H,0.067,5.231,5.298,9.505,hg_1,cdn_3,user_17,ip_29,ip_23,opt_29,opt_23,1
h_dyn_1,H,0.142,14.162,14.304,10.433,hg_3,cdn_7,user_25,ip_28,ip_9,opt_28,opt_9,2
bg_dyn_0,BG,0.194,11.332,11.526,10.775,,,,,,opt_0,opt_8,1
h_dyn_2,H,0.228,10.376,10.604,11.733,hg_3,cdn_7,user_23,ip_28,ip_1,opt_28,opt_1,2
h_dyn_3,H,0.245,11.734,11.979,13.734,hg_0,cdn_0,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_4,H,0.304,9.892,10.196,10.996,hg_1,cdn_3,user_14,ip_29,ip_31,opt_29,opt_31,1
h_dyn_5,H,0.343,5.309,5.652,6.274,hg_0,cdn_0,user_11,ip_14,ip_23,opt_14,opt_23,2
h_dyn_6,H,0.443,5.939,6.382,6.996,hg_3,cdn_6,user_29,ip_13,ip_29,opt_13,opt_29,2
bg_dyn_1,BG,0.459,5.867,6.326,7.902,,,,,,opt_14,opt_18,1
bg_dyn_2,BG,0.482,10.544,11.026,7.435,,,,,,opt_25,opt_9,1
h_dyn_7,H,0.494,10.838,11.332,9.146,hg_4,cdn_9,user_18,ip_1,ip_31,opt_1,opt_31,2
h_dyn_8,H,0.526,8.538,9.064,8.426,hg_4,cdn_9,user_14,ip_1,ip_31,opt_1,opt_31,2
h_dyn_9,H,0.553,10.519,11.072,5.183,hg_4,cdn_9,user_3,ip_1,ip_6,opt_1,opt_6,1
h_dyn_10,H,0.695,11.887,12.582,10.235,hg_2,cdn_4,user_3,ip_14,ip_6,opt_14,opt_6,1
bg_dyn_3,BG,0.696,8.387,9.084,6.467,,,,,,opt_26,opt_9,1
bg_dyn_4,BG,0.735,8.964,9.698,6.947,,,,,,opt_3,opt_29,1
bg_dyn_5,BG,0.789,11.485,12.274,15.551,,,,,,opt_27,opt_21,2
bg_dyn_6,BG,1.035,7.298,8.333,11.573,,,,,,opt_2,opt_22,1
h_dyn_11,H,1.109,9.962,11.071,9.867,hg_4,cdn_8,user_13,ip_11,ip_17,opt_11,opt_17,1
h_dyn_12,H,1.215,8.002,9.218,2.460,hg_1,cdn_3,user_3,ip_29,ip_6,opt_29,opt_6,1
